# Absorption coefficients
# Pure H2O
# Wavenumber range: 0-10000 cm-1, T: 296 K, P: 1 atm, step: 1 cm-1, Profile: Voigt, Wing: 50 HW, Scut: 1e-28 cm/mol
# KNa, Ka and thier units definition in Eqs(2)-(3) of  https://spectra.iao.ru/home.sim-theory.sp-functions.
# WN,cm-1           KNa,cm-1       Ka,cm**2/molecule (FORMAT F12.6,3X,E17.10,3X,E17.10)

    0.000000    6.6103928643E-04    2.6661562891E-23
    1.000000    7.4694915812E-04    3.0126548246E-23
    2.000000    1.0747275473E-03    4.3346767252E-23
    3.000000    1.2207984966E-03    4.9238217097E-23
    4.000000    1.4207924876E-03    5.7304533998E-23
    5.000000    1.7632342478E-03    7.1116167759E-23
    6.000000    2.9321242601E-03    1.1826077053E-22
    7.000000    2.4401030969E-03    9.8416181176E-23
    8.000000    2.8179574093E-03    1.1365610219E-22
    9.000000    3.4303495577E-03    1.3835558997E-22
   10.000000    5.5516798510E-03    2.2391477259E-22
   11.000000    8.2490218444E-03    3.3270611778E-22
   12.000000    1.2602675439E-02    5.0830114142E-22
   13.000000    1.8436822221E-02    7.4360859520E-22
   14.000000    1.9017332414E-02    7.6702219458E-22
   15.000000    3.9246133633E-02    1.5829063137E-21
   16.000000    4.0540746738E-02    1.6351216803E-21
   17.000000    8.1982937813E-02    3.3066011315E-21
   18.000000    3.6253550484E-01    1.4622070671E-20
   19.000000    4.9669418929E-01    2.0033065564E-20
   20.000000    1.0359707727E-01    4.1783598155E-21
   21.000000    5.3176990749E-02    2.1447767361E-21
   22.000000    4.0808051505E-02    1.6459028290E-21
   23.000000    4.8816649465E-02    1.9689119793E-21
   24.000000    1.0959593049E-01    4.4203103405E-21
   25.000000    5.9687678058E-01    2.4073709612E-20
   26.000000    1.4153985454E-01    5.7086981227E-21
   27.000000    5.7568696566E-02    2.3219065123E-21
   28.000000    4.5539276654E-02    1.8367263693E-21
   29.000000    4.9588440539E-02    2.0000404715E-21
   30.000000    6.5732241825E-02    2.6511651203E-21
   31.000000    9.6203137252E-02    3.8801415389E-21
   32.000000    1.7536210162E-01    7.0728439245E-21
   33.000000    5.2420374434E-01    2.1142602844E-20
   34.000000    2.5021999165E-01    1.0092071955E-20
   35.000000    3.8486562418E-01    1.5522706826E-20
   36.000000    1.3356535831E+00    5.3870643906E-20
   37.000000    2.6153713877E+00    1.0548524145E-19
   38.000000    1.6195787528E+00    6.5322139940E-20
   39.000000    2.9800835040E+00    1.2019510095E-19
   40.000000    1.3860499458E+00    5.5903270134E-20
   41.000000    1.3155819438E+00    5.3061098563E-20
   42.000000    3.7602230642E-01    1.5166031092E-20
   43.000000    2.2819999675E-01    9.2039439861E-21
   44.000000    2.7637918535E-01    1.1147145386E-20
   45.000000    2.2763869275E-01    9.1813050263E-21
   46.000000    4.6864180357E-01    1.8901634404E-20
   47.000000    2.6698040576E+00    1.0768066324E-19
   48.000000    5.6530171847E-01    2.2800199063E-20
   49.000000    2.5074016784E-01    1.0113052115E-20
   50.000000    2.2201290351E-01    8.9544012147E-21
   51.000000    2.7437747188E-01    1.1066410685E-20
   52.000000    4.3097035779E-01    1.7382239655E-20
   53.000000    1.1099465023E+00    4.4767246190E-20
   54.000000    1.5745999568E+00    6.3508019323E-20
   55.000000    4.4868940620E+00    1.8096898425E-19
   56.000000    7.2694770315E+00    2.9319833637E-19
   57.000000    6.2008626895E+00    2.5009813178E-19
   58.000000    2.7699912265E+00    1.1172149191E-19
   59.000000    1.5643260225E+00    6.3093642824E-20
   60.000000    1.9888953721E+00    8.0217711919E-20
   61.000000    8.2360919481E-01    3.3218461891E-20
   62.000000    2.3104375200E+00    9.3186405876E-20
   63.000000    1.3561209576E+00    5.4696150353E-20
   64.000000    2.5346134758E+00    1.0222804904E-19
   65.000000    6.2378351378E-01    2.5158933401E-20
   66.000000    3.8914990582E-01    1.5695503884E-20
   67.000000    5.7964127853E-01    2.3378553618E-20
   68.000000    1.6893159945E+00    6.8134837905E-20
   69.000000    1.2384736572E+00    4.9951105749E-20
   70.000000    7.3059167533E-01    2.9466805225E-20
   71.000000    1.0605822609E+00    4.2776248297E-20
   72.000000    4.7798098369E+00    1.9278309654E-19
   73.000000    4.7822662744E+00    1.9288217153E-19
   74.000000    5.2985981572E+00    2.1370728019E-19
   75.000000    3.6228790737E+00    1.4612084373E-19
   76.000000    3.1307321252E+00    1.2627118110E-19
   77.000000    1.2439510026E+00    5.0172022404E-20
   78.000000    2.2947288228E+00    9.2552830190E-20
   79.000000    3.5375294919E+00    1.4267845643E-19
   80.000000    4.9079443864E+00    1.9795112122E-19
   81.000000    1.8833886023E+00    7.5962328864E-20
   82.000000    5.3738749418E+00    2.1674340341E-19
   83.000000    1.5713398137E+00    6.3376528634E-20
   84.000000    8.4347604937E-01    3.4019747689E-20
   85.000000    9.7572719774E-01    3.9353806318E-20
   86.000000    1.6224191642E+00    6.5436701675E-20
   87.000000    4.1355309497E+00    1.6679752742E-19
   88.000000    1.9627720795E+01    7.9164086479E-19
   89.000000    6.4653276338E+00    2.6076474251E-19
   90.000000    3.2797212648E+00    1.3228032972E-19
   91.000000    3.0627172732E+00    1.2352795193E-19
   92.000000    7.4775655037E+00    3.0159112634E-19
   93.000000    7.8704386256E+00    3.1743679794E-19
   94.000000    2.8967182118E+00    1.1683274559E-19
   95.000000    2.0850868335E+00    8.4097382538E-20
   96.000000    5.6590282438E+00    2.2824443345E-19
   97.000000    2.3793434573E+00    9.5965575009E-20
   98.000000    3.2406704429E+00    1.3070530087E-19
   99.000000    1.3630810760E+01    5.4976871388E-19
  100.000000    1.2687972655E+01    5.1174141665E-19
  101.000000    1.2154352460E+01    4.9021902201E-19
  102.000000    3.9256334054E+00    1.5833177252E-19
  103.000000    2.1021381937E+00    8.4785111575E-20
  104.000000    5.0458041777E+00    2.0351139211E-19
  105.000000    7.4160671885E+00    2.9911072731E-19
  106.000000    6.5797169039E+00    2.6537838165E-19
  107.000000    2.7576349513E+00    1.1122312878E-19
  108.000000    2.7591803669E+00    1.1128545971E-19
  109.000000    1.0189600697E+00    4.1097508936E-20
  110.000000    1.4603012044E+00    5.8898031024E-20
  111.000000    7.4001430104E+00    2.9846846068E-19
  112.000000    1.8251316350E+00    7.3612662467E-20
  113.000000    6.9405745159E-01    2.7993277821E-20
  114.000000    4.9154583992E-01    1.9825418237E-20
