# Absorption coefficients
# Pure CO2
# Wavenumber range: 0-10000 cm-1, T: 296 K, P: 1 atm, step: 1 cm-1, Profile: Voigt, Wing: 50 HW, Scut: 1e-28 cm/mol
# KNa, Ka and thier units definition in Eqs(2)-(3) of  https://spectra.iao.ru/home.sim-theory.sp-functions.
# WN,cm-1           KNa,cm-1       Ka,cm**2/molecule (FORMAT F12.6,3X,E17.10,3X,E17.10)

    0.000000    0.0000000000E+00    0.0000000000E+00
    1.000000    0.0000000000E+00    0.0000000000E+00
    2.000000    0.0000000000E+00    0.0000000000E+00
    3.000000    0.0000000000E+00    0.0000000000E+00
    4.000000    0.0000000000E+00    0.0000000000E+00
    5.000000    0.0000000000E+00    0.0000000000E+00
    6.000000    0.0000000000E+00    0.0000000000E+00
    7.000000    0.0000000000E+00    0.0000000000E+00
    8.000000    0.0000000000E+00    0.0000000000E+00
    9.000000    0.0000000000E+00    0.0000000000E+00
   10.000000    0.0000000000E+00    0.0000000000E+00
   11.000000    0.0000000000E+00    0.0000000000E+00
   12.000000    0.0000000000E+00    0.0000000000E+00
   13.000000    0.0000000000E+00    0.0000000000E+00
   14.000000    0.0000000000E+00    0.0000000000E+00
   15.000000    0.0000000000E+00    0.0000000000E+00
   16.000000    0.0000000000E+00    0.0000000000E+00
   17.000000    0.0000000000E+00    0.0000000000E+00
   18.000000    0.0000000000E+00    0.0000000000E+00
   19.000000    0.0000000000E+00    0.0000000000E+00
   20.000000    0.0000000000E+00    0.0000000000E+00
   21.000000    0.0000000000E+00    0.0000000000E+00
   22.000000    0.0000000000E+00    0.0000000000E+00
   23.000000    0.0000000000E+00    0.0000000000E+00
   24.000000    0.0000000000E+00    0.0000000000E+00
   25.000000    0.0000000000E+00    0.0000000000E+00
   26.000000    0.0000000000E+00    0.0000000000E+00
   27.000000    0.0000000000E+00    0.0000000000E+00
   28.000000    0.0000000000E+00    0.0000000000E+00
   29.000000    0.0000000000E+00    0.0000000000E+00
   30.000000    0.0000000000E+00    0.0000000000E+00
   31.000000    0.0000000000E+00    0.0000000000E+00
   32.000000    0.0000000000E+00    0.0000000000E+00
   33.000000    0.0000000000E+00    0.0000000000E+00
   34.000000    0.0000000000E+00    0.0000000000E+00
   35.000000    0.0000000000E+00    0.0000000000E+00
   36.000000    0.0000000000E+00    0.0000000000E+00
   37.000000    0.0000000000E+00    0.0000000000E+00
   38.000000    0.0000000000E+00    0.0000000000E+00
   39.000000    0.0000000000E+00    0.0000000000E+00
   40.000000    0.0000000000E+00    0.0000000000E+00
   41.000000    0.0000000000E+00    0.0000000000E+00
   42.000000    0.0000000000E+00    0.0000000000E+00
   43.000000    0.0000000000E+00    0.0000000000E+00
   44.000000    0.0000000000E+00    0.0000000000E+00
   45.000000    0.0000000000E+00    0.0000000000E+00
   46.000000    0.0000000000E+00    0.0000000000E+00
   47.000000    0.0000000000E+00    0.0000000000E+00
   48.000000    0.0000000000E+00    0.0000000000E+00
   49.000000    0.0000000000E+00    0.0000000000E+00
   50.000000    0.0000000000E+00    0.0000000000E+00
   51.000000    0.0000000000E+00    0.0000000000E+00
   52.000000    0.0000000000E+00    0.0000000000E+00
   53.000000    0.0000000000E+00    0.0000000000E+00
   54.000000    0.0000000000E+00    0.0000000000E+00
   55.000000    0.0000000000E+00    0.0000000000E+00
   56.000000    0.0000000000E+00    0.0000000000E+00
   57.000000    0.0000000000E+00    0.0000000000E+00
   58.000000    0.0000000000E+00    0.0000000000E+00
   59.000000    0.0000000000E+00    0.0000000000E+00
   60.000000    0.0000000000E+00    0.0000000000E+00
   61.000000    0.0000000000E+00    0.0000000000E+00
   62.000000    0.0000000000E+00    0.0000000000E+00
   63.000000    0.0000000000E+00    0.0000000000E+00
   64.000000    0.0000000000E+00    0.0000000000E+00
   65.000000    0.0000000000E+00    0.0000000000E+00
   66.000000    0.0000000000E+00    0.0000000000E+00
   67.000000    0.0000000000E+00    0.0000000000E+00
   68.000000    0.0000000000E+00    0.0000000000E+00
   69.000000    0.0000000000E+00    0.0000000000E+00
   70.000000    0.0000000000E+00    0.0000000000E+00
   71.000000    0.0000000000E+00    0.0000000000E+00
   72.000000    0.0000000000E+00    0.0000000000E+00
   73.000000    0.0000000000E+00    0.0000000000E+00
   74.000000    0.0000000000E+00    0.0000000000E+00
   75.000000    0.0000000000E+00    0.0000000000E+00
   76.000000    0.0000000000E+00    0.0000000000E+00
   77.000000    0.0000000000E+00    0.0000000000E+00
   78.000000    0.0000000000E+00    0.0000000000E+00
   79.000000    0.0000000000E+00    0.0000000000E+00
   80.000000    0.0000000000E+00    0.0000000000E+00
   81.000000    0.0000000000E+00    0.0000000000E+00
   82.000000    0.0000000000E+00    0.0000000000E+00
   83.000000    0.0000000000E+00    0.0000000000E+00
   84.000000    0.0000000000E+00    0.0000000000E+00
   85.000000    0.0000000000E+00    0.0000000000E+00
   86.000000    0.0000000000E+00    0.0000000000E+00
   87.000000    0.0000000000E+00    0.0000000000E+00
   88.000000    0.0000000000E+00    0.0000000000E+00
   89.000000    0.0000000000E+00    0.0000000000E+00
   90.000000    0.0000000000E+00    0.0000000000E+00
   91.000000    0.0000000000E+00    0.0000000000E+00
   92.000000    0.0000000000E+00    0.0000000000E+00
   93.000000    0.0000000000E+00    0.0000000000E+00
   94.000000    0.0000000000E+00    0.0000000000E+00
   95.000000    0.0000000000E+00    0.0000000000E+00
   96.000000    0.0000000000E+00    0.0000000000E+00
   97.000000    0.0000000000E+00    0.0000000000E+00
   98.000000    0.0000000000E+00    0.0000000000E+00
   99.000000    0.0000000000E+00    0.0000000000E+00
  100.000000    0.0000000000E+00    0.0000000000E+00
  101.000000    0.0000000000E+00    0.0000000000E+00
  102.000000    0.0000000000E+00    0.0000000000E+00
  103.000000    0.0000000000E+00    0.0000000000E+00
  104.000000    0.0000000000E+00    0.0000000000E+00
  105.000000    0.0000000000E+00    0.0000000000E+00
  106.000000    0.0000000000E+00    0.0000000000E+00
  107.000000    0.0000000000E+00    0.0000000000E+00
  108.000000    0.0000000000E+00    0.0000000000E+00
  109.000000    0.0000000000E+00    0.0000000000E+00
  110.000000    0.0000000000E+00    0.0000000000E+00
  111.000000    0.0000000000E+00    0.0000000000E+00
  112.000000    0.0000000000E+00    0.0000000000E+00
  113.000000    0.0000000000E+00    0.0000000000E+00
  114.000000    0.0000000000E+00    0.0000000000E+00
  115.000000    0.0000000000E+00    0.0000000000E+00
  116.000000    0.0000000000E+00    0.0000000000E+00
  117.000000    0.0000000000E+00    0.0000000000E+00
  118.000000    0.0000000000E+00    0.0000000000E+00
  119.000000    0.0000000000E+00    0.0000000000E+00
  120.000000    0.0000000000E+00    0.0000000000E+00
  121.000000    0.0000000000E+00    0.0000000000E+00
  122.000000    0.0000000000E+00    0.0000000000E+00
  123.000000    0.0000000000E+00    0.0000000000E+00
  124.000000    0.0000000000E+00    0.0000000000E+00
  125.000000    0.0000000000E+00    0.0000000000E+00
  126.000000    0.0000000000E+00    0.0000000000E+00
  127.000000    0.0000000000E+00    0.0000000000E+00
  128.000000    0.0000000000E+00    0.0000000000E+00
  129.000000    0.0000000000E+00    0.0000000000E+00
  130.000000    0.0000000000E+00    0.0000000000E+00
  131.000000    0.0000000000E+00    0.0000000000E+00
  132.000000    0.0000000000E+00    0.0000000000E+00
  133.000000    0.0000000000E+00    0.0000000000E+00
  134.000000    0.0000000000E+00    0.0000000000E+00
  135.000000    0.0000000000E+00    0.0000000000E+00
  136.000000    0.0000000000E+00    0.0000000000E+00
  137.000000    0.0000000000E+00    0.0000000000E+00
  138.000000    0.0000000000E+00    0.0000000000E+00
  139.000000    0.0000000000E+00    0.0000000000E+00
  140.000000    0.0000000000E+00    0.0000000000E+00
  141.000000    0.0000000000E+00    0.0000000000E+00
  142.000000    0.0000000000E+00    0.0000000000E+00
  143.000000    0.0000000000E+00    0.0000000000E+00
  144.000000    0.0000000000E+00    0.0000000000E+00
  145.000000    0.0000000000E+00    0.0000000000E+00
  146.000000    0.0000000000E+00    0.0000000000E+00
  147.000000    0.0000000000E+00    0.0000000000E+00
  148.000000    0.0000000000E+00    0.0000000000E+00
  149.000000    0.0000000000E+00    0.0000000000E+00
  150.000000    0.0000000000E+00    0.0000000000E+00
  151.000000    0.0000000000E+00    0.0000000000E+00
  152.000000    0.0000000000E+00    0.0000000000E+00
  153.000000    0.0000000000E+00    0.0000000000E+00
  154.000000    0.0000000000E+00    0.0000000000E+00
  155.000000    0.0000000000E+00    0.0000000000E+00
  156.000000    0.0000000000E+00    0.0000000000E+00
  157.000000    0.0000000000E+00    0.0000000000E+00
  158.000000    0.0000000000E+00    0.0000000000E+00
  159.000000    0.0000000000E+00    0.0000000000E+00
  160.000000    0.0000000000E+00    0.0000000000E+00
  161.000000    0.0000000000E+00    0.0000000000E+00
  162.000000    0.0000000000E+00    0.0000000000E+00
  163.000000    0.0000000000E+00    0.0000000000E+00
  164.000000    0.0000000000E+00    0.0000000000E+00
  165.000000    0.0000000000E+00    0.0000000000E+00
  166.000000    0.0000000000E+00    0.0000000000E+00
  167.000000    0.0000000000E+00    0.0000000000E+00
  168.000000    0.0000000000E+00    0.0000000000E+00
  169.000000    0.0000000000E+00    0.0000000000E+00
  170.000000    0.0000000000E+00    0.0000000000E+00
  171.000000    0.0000000000E+00    0.0000000000E+00
  172.000000    0.0000000000E+00    0.0000000000E+00
  173.000000    0.0000000000E+00    0.0000000000E+00
  174.000000    0.0000000000E+00    0.0000000000E+00
  175.000000    0.0000000000E+00    0.0000000000E+00
  176.000000    0.0000000000E+00    0.0000000000E+00
  177.000000    0.0000000000E+00    0.0000000000E+00
  178.000000    0.0000000000E+00    0.0000000000E+00
  179.000000    0.0000000000E+00    0.0000000000E+00
  180.000000    0.0000000000E+00    0.0000000000E+00
  181.000000    0.0000000000E+00    0.0000000000E+00
  182.000000    0.0000000000E+00    0.0000000000E+00
  183.000000    0.0000000000E+00    0.0000000000E+00
  184.000000    0.0000000000E+00    0.0000000000E+00
  185.000000    0.0000000000E+00    0.0000000000E+00
  186.000000    0.0000000000E+00    0.0000000000E+00
  187.000000    0.0000000000E+00    0.0000000000E+00
  188.000000    0.0000000000E+00    0.0000000000E+00
  189.000000    0.0000000000E+00    0.0000000000E+00
  190.000000    0.0000000000E+00    0.0000000000E+00
  191.000000    0.0000000000E+00    0.0000000000E+00
  192.000000    0.0000000000E+00    0.0000000000E+00
  193.000000    0.0000000000E+00    0.0000000000E+00
  194.000000    0.0000000000E+00    0.0000000000E+00
  195.000000    0.0000000000E+00    0.0000000000E+00
  196.000000    0.0000000000E+00    0.0000000000E+00
  197.000000    0.0000000000E+00    0.0000000000E+00
  198.000000    0.0000000000E+00    0.0000000000E+00
  199.000000    0.0000000000E+00    0.0000000000E+00
  200.000000    0.0000000000E+00    0.0000000000E+00
  201.000000    0.0000000000E+00    0.0000000000E+00
  202.000000    0.0000000000E+00    0.0000000000E+00
  203.000000    0.0000000000E+00    0.0000000000E+00
  204.000000    0.0000000000E+00    0.0000000000E+00
  205.000000    0.0000000000E+00    0.0000000000E+00
  206.000000    0.0000000000E+00    0.0000000000E+00
  207.000000    0.0000000000E+00    0.0000000000E+00
  208.000000    0.0000000000E+00    0.0000000000E+00
  209.000000    0.0000000000E+00    0.0000000000E+00
  210.000000    0.0000000000E+00    0.0000000000E+00
  211.000000    0.0000000000E+00    0.0000000000E+00
  212.000000    0.0000000000E+00    0.0000000000E+00
  213.000000    0.0000000000E+00    0.0000000000E+00
  214.000000    0.0000000000E+00    0.0000000000E+00
  215.000000    0.0000000000E+00    0.0000000000E+00
  216.000000    0.0000000000E+00    0.0000000000E+00
  217.000000    0.0000000000E+00    0.0000000000E+00
  218.000000    0.0000000000E+00    0.0000000000E+00
  219.000000    0.0000000000E+00    0.0000000000E+00
  220.000000    0.0000000000E+00    0.0000000000E+00
  221.000000    0.0000000000E+00    0.0000000000E+00
  222.000000    0.0000000000E+00    0.0000000000E+00
  223.000000    0.0000000000E+00    0.0000000000E+00
  224.000000    0.0000000000E+00    0.0000000000E+00
  225.000000    0.0000000000E+00    0.0000000000E+00
  226.000000    0.0000000000E+00    0.0000000000E+00
  227.000000    0.0000000000E+00    0.0000000000E+00
  228.000000    0.0000000000E+00    0.0000000000E+00
  229.000000    0.0000000000E+00    0.0000000000E+00
  230.000000    0.0000000000E+00    0.0000000000E+00
  231.000000    0.0000000000E+00    0.0000000000E+00
  232.000000    0.0000000000E+00    0.0000000000E+00
