# Absorption coefficients
# Pure NH3
# Wavenumber range: 0-10000 cm-1, T: 296 K, P: 1 atm, step: 1 cm-1, Profile: Voigt, Wing: 50 HW, Scut: 1e-28 cm/mol
# KNa, Ka and thier units definition in Eqs(2)-(3) of  https://spectra.iao.ru/home.sim-theory.sp-functions.
# WN,cm-1           KNa,cm-1       Ka,cm**2/molecule (FORMAT F12.6,3X,E17.10,3X,E17.10)

    0.000000    2.4909870975E-03    1.0046847521E-22
    1.000000    6.2584575636E-03    2.5242109411E-22
    2.000000    1.4318649063E-03    5.7751115607E-23
    3.000000    5.8841149581E-04    2.3732281005E-23
    4.000000    3.9011406912E-04    1.5734391286E-23
    5.000000    3.5146021627E-04    1.4175373313E-23
    6.000000    3.0414736517E-04    1.2267113727E-23
    7.000000    3.1440304798E-04    1.2680754093E-23
    8.000000    3.3816062068E-04    1.3638963433E-23
    9.000000    3.8535528303E-04    1.5542456136E-23
   10.000000    4.5363316705E-04    1.8296294125E-23
   11.000000    5.5927868683E-04    2.2557273355E-23
   12.000000    7.0354411351E-04    2.8375901423E-23
   13.000000    9.3017710313E-04    3.7516643630E-23
   14.000000    1.3277927520E-03    5.3553594603E-23
   15.000000    2.2296893355E-03    8.9929605798E-23
   16.000000    3.6662504781E-03    1.4787013375E-22
   17.000000    7.1260518084E-03    2.8741359606E-22
   18.000000    2.3418203224E-02    9.4452162053E-22
   19.000000    2.1524232937E-01    8.6813250270E-21
   20.000000    3.2830248957E-02    1.3241357439E-21
   21.000000    8.9976504519E-03    3.6290040292E-22
   22.000000    4.6191205158E-03    1.8630204688E-22
   23.000000    4.0094117875E-03    1.6171078894E-22
   24.000000    4.1141529261E-03    1.6593529194E-22
   25.000000    6.5718369778E-03    2.6506056219E-22
   26.000000    8.0146313240E-03    3.2325249267E-22
   27.000000    4.5696028520E-03    1.8430486103E-22
   28.000000    4.9105431130E-03    1.9805593513E-22
   29.000000    6.4506522414E-03    2.6017284290E-22
   30.000000    7.6140858934E-03    3.0709737540E-22
   31.000000    9.9328656119E-03    4.0062024547E-22
   32.000000    1.5881347034E-02    6.4053913499E-22
   33.000000    1.8905891242E-02    7.6252746048E-22
   34.000000    3.0131809462E-02    1.2153001334E-21
   35.000000    4.3739998623E-02    1.7641564549E-21
   36.000000    6.1099944772E-02    2.4643316269E-21
   37.000000    7.3618577687E-02    2.9692430983E-21
   38.000000    1.5188757121E-01    6.1260504712E-21
   39.000000    6.6651687799E-01    2.6882489475E-20
   40.000000    8.8372813617E-01    3.5643226907E-20
   41.000000    9.3776429785E-01    3.7822656409E-20
