# Absorption Cross-sections (XS) & Absorbance
# Pure H2O
# Wavenumber range: 0-4000 cm-1, T: 296 K, P: 1 atm, step: 1 cm-1, Profile: Voigt, Wing: 50 HW, Scut: 1e-28 cm/mol
# XS in HITRAN-compatible units. Absorbance for path=1m in PNNL-compatible units. Definition in Eqs(7)-(9) of https://spectra.iao.ru/home.sim-theory.sp-functions.
# WN,cm-1      XS,cm**2/molecule   Absorbance,1/(ppm*m) (FORMAT F12.6,3X,E17.10,3X,E17.10)

    0.000000    2.6661562891E-23    7.6610321440E-04
    1.000000    3.0126548246E-23    8.6566738585E-04
    2.000000    4.3346767251E-23    1.2455420510E-03
    3.000000    4.9238217095E-23    1.4148291510E-03
    4.000000    5.7304533997E-23    1.6466096858E-03
    5.000000    7.1116167758E-23    2.0434782814E-03
    6.000000    1.1826077053E-22    3.3981487437E-03
    7.000000    9.8416181176E-23    2.8279269695E-03
    8.000000    1.1365610219E-22    3.2658364996E-03
    9.000000    1.3835558997E-22    3.9755607218E-03
   10.000000    2.2391477259E-22    6.4340499369E-03
   11.000000    3.3270611778E-22    9.5601007087E-03
   12.000000    5.0830114141E-22    1.4605713098E-02
   13.000000    7.4360859519E-22    2.1367124552E-02
   14.000000    7.6702219456E-22    2.2039899581E-02
   15.000000    1.5829063137E-21    4.5483815783E-02
   16.000000    1.6351216803E-21    4.6984191451E-02
   17.000000    3.3066011315E-21    9.5013100543E-02
   18.000000    1.4622070671E-20    4.2015598966E-01
   19.000000    2.0033065564E-20    5.7563751928E-01
   20.000000    4.1783598155E-21    1.2006253717E-01
   21.000000    2.1447767361E-21    6.1628808425E-02
   22.000000    1.6459028290E-21    4.7293980968E-02
   23.000000    1.9689119793E-21    5.6575445422E-02
   24.000000    4.4203103405E-21    1.2701483309E-01
   25.000000    2.4073709612E-20    6.9174288063E-01
   26.000000    5.7086981225E-21    1.6403584440E-01
   27.000000    2.3219065123E-21    6.6718520962E-02
   28.000000    1.8367263693E-21    5.2777175188E-02
   29.000000    2.0000404715E-21    5.7469903036E-02
   30.000000    2.6511651203E-21    7.6179559650E-02
   31.000000    3.8801415389E-21    1.1149342285E-01
   32.000000    7.0728439246E-21    2.0323371469E-01
   33.000000    2.1142602844E-20    6.0751937409E-01
   34.000000    1.0092071955E-20    2.8998933020E-01
   35.000000    1.5522706826E-20    4.4603520222E-01
   36.000000    5.3870643904E-20    1.5479390172E+00
   37.000000    1.0548524145E-19    3.0310519633E+00
   38.000000    6.5322139940E-20    1.8769905420E+00
   39.000000    1.2019510095E-19    3.4537305096E+00
   40.000000    5.5903270136E-20    1.6063452515E+00
   41.000000    5.3061098565E-20    1.5246772418E+00
   42.000000    1.5166031092E-20    4.3578634969E-01
   43.000000    9.2039439862E-21    2.6446953249E-01
   44.000000    1.1147145386E-20    3.2030620061E-01
   45.000000    9.1813050263E-21    2.6381901623E-01
   46.000000    1.8901634404E-20    5.4312655766E-01
   47.000000    1.0768066324E-19    3.0941360254E+00
   48.000000    2.2800199063E-20    6.5514935726E-01
   49.000000    1.0113052116E-20    2.9059218189E-01
   50.000000    8.9544012148E-21    2.5729907815E-01
   51.000000    1.1066410685E-20    3.1798633982E-01
   52.000000    1.7382239655E-20    4.9946770667E-01
   53.000000    4.4767246189E-20    1.2863586184E+00
   54.000000    6.3508019323E-20    1.8248629288E+00
   55.000000    1.8096898425E-19    5.2000297624E+00
   56.000000    2.9319833637E-19    8.4248694974E+00
   57.000000    2.5009813178E-19    7.1864122693E+00
   58.000000    1.1172149191E-19    3.2102466919E+00
   59.000000    6.3093642824E-20    1.8129560811E+00
   60.000000    8.0217711919E-20    2.3050054194E+00
   61.000000    3.3218461891E-20    9.5451157670E-01
   62.000000    9.3186405875E-20    2.6776526707E+00
   63.000000    5.4696150351E-20    1.5716594249E+00
   64.000000    1.0222804904E-19    2.9374585912E+00
   65.000000    2.5158933401E-20    7.2292610259E-01
   66.000000    1.5695503884E-20    4.5100041685E-01
   67.000000    2.3378553618E-20    6.7176801107E-01
   68.000000    6.8134837905E-20    1.9578116461E+00
   69.000000    4.9951105748E-20    1.4353135573E+00
   70.000000    2.9466805225E-20    8.4671008573E-01
   71.000000    4.2776248296E-20    1.2291485482E+00
   72.000000    1.9278309654E-19    5.5395008367E+00
   73.000000    1.9288217153E-19    5.5423476942E+00
   74.000000    2.1370728019E-19    6.1407440728E+00
   75.000000    1.4612084373E-19    4.1986903967E+00
   76.000000    1.2627118110E-19    3.6283228452E+00
   77.000000    5.0172022404E-20    1.4416614583E+00
   78.000000    9.2552830190E-20    2.6594472725E+00
   79.000000    1.4267845643E-19    4.0997755662E+00
   80.000000    1.9795112122E-19    5.6880007705E+00
   81.000000    7.5962328864E-20    2.1827296680E+00
   82.000000    2.1674340341E-19    6.2279851610E+00
   83.000000    6.3376528635E-20    1.8210846267E+00
   84.000000    3.4019747689E-20    9.7753601935E-01
   85.000000    3.9353806318E-20    1.1308068339E+00
   86.000000    6.5436701675E-20    1.8802824012E+00
   87.000000    1.6679752742E-19    4.7928218774E+00
   88.000000    7.9164086480E-19    2.2747301561E+01
   89.000000    2.6076474251E-19    7.4929106092E+00
   90.000000    1.3228032972E-19    3.8009919454E+00
   91.000000    1.2352795193E-19    3.5494978831E+00
   92.000000    3.0159112633E-19    8.6660310300E+00
   93.000000    3.1743679793E-19    9.1213464216E+00
   94.000000    1.1683274560E-19    3.3571153467E+00
   95.000000    8.4097382538E-20    2.4164853107E+00
   96.000000    2.2824443345E-19    6.5584600143E+00
   97.000000    9.5965575008E-20    2.7575103450E+00
   98.000000    1.3070530087E-19    3.7557344837E+00
   99.000000    5.4976871388E-19    1.5797257671E+01
  100.000000    5.1174141665E-19    1.4704567239E+01
  101.000000    4.9021902201E-19    1.4086134788E+01
  102.000000    1.5833177252E-19    4.5495637433E+00
  103.000000    8.4785111576E-20    2.4362467714E+00
  104.000000    2.0351139211E-19    5.8477716516E+00
  105.000000    2.9911072731E-19    8.5947583267E+00
  106.000000    2.6537838164E-19    7.6254806233E+00
  107.000000    1.1122312878E-19    3.1959265413E+00
  108.000000    1.1128545971E-19    3.1977175814E+00
  109.000000    4.1097508936E-20    1.1809110302E+00
  110.000000    5.8898031024E-20    1.6923978191E+00
  111.000000    2.9846846068E-19    8.5763031996E+00
  112.000000    7.3612662468E-20    2.1152134843E+00
  113.000000    2.7993277820E-20    8.0436920401E-01
  114.000000    1.9825418237E-20    5.6967090416E-01
  115.000000    2.0029885137E-20    5.7554613173E-01
  116.000000    3.1515187872E-20    9.0556907072E-01
  117.000000    5.8632563128E-20    1.6847697663E+00
  118.000000    1.5343171123E-19    4.4087635690E+00
  119.000000    9.2204117399E-20    2.6494272301E+00
  120.000000    4.0871494586E-19    1.1744166502E+01
  121.000000    2.8288202238E-19    8.1284367134E+00
  122.000000    9.6537178145E-19    2.7739350011E+01
  123.000000    2.2603675057E-19    6.4950236375E+00
  124.000000    9.1660629734E-20    2.6338104544E+00
  125.000000    8.7715279669E-20    2.5204433057E+00
  126.000000    2.1244631837E-19    6.1045111295E+00
  127.000000    9.0372007403E-19    2.5967827035E+01
  128.000000    1.9486826058E-19    5.5994167118E+00
  129.000000    9.2694606725E-20    2.6635211319E+00
  130.000000    6.6192029181E-20    1.9019862613E+00
  131.000000    1.2572942420E-19    3.6127558020E+00
  132.000000    4.2967731711E-19    1.2346507035E+01
  133.000000    5.0087438464E-19    1.4392309920E+01
  134.000000    1.2959300290E-19    3.7237733021E+00
  135.000000    6.2385028068E-20    1.7925944825E+00
  136.000000    5.5480915123E-20    1.5942091463E+00
  137.000000    6.4601752312E-20    1.8562906573E+00
  138.000000    1.6349424769E-19    4.6979042153E+00
  139.000000    1.0766833407E-18    3.0937817545E+01
  140.000000    4.5588351900E-19    1.3099525738E+01
  141.000000    2.8239455150E-19    8.1144295449E+00
  142.000000    8.8601543262E-20    2.5459095317E+00
  143.000000    4.2911147488E-20    1.2330247915E+00
  144.000000    3.4386487660E-20    9.8807406138E-01
  145.000000    3.9073603293E-20    1.1227553765E+00
  146.000000    4.4315932322E-20    1.2733903988E+00
  147.000000    6.9873885035E-20    2.0077820699E+00
  148.000000    1.6126490029E-19    4.6338453222E+00
  149.000000    7.2193778442E-19    2.0744427456E+01
  150.000000    8.7767005895E-19    2.5219296262E+01
  151.000000    1.0872208084E-18    3.1240605043E+01
  152.000000    3.2337555613E-19    9.2919928973E+00
  153.000000    4.0875447115E-19    1.1745302237E+01
  154.000000    3.1407412022E-19    9.0247219958E+00
  155.000000    9.7555221951E-20    2.8031878485E+00
  156.000000    1.1182732189E-19    3.2132876496E+00
  157.000000    2.1118391785E-19    6.0682368457E+00
  158.000000    8.7849492364E-19    2.5242998229E+01
  159.000000    1.4484231203E-19    4.1619525938E+00
  160.000000    6.4069935914E-20    1.8410092481E+00
  161.000000    3.3972058503E-20    9.7616570064E-01
  162.000000    3.0785253358E-20    8.8459486228E-01
  163.000000    2.4083726186E-20    6.9203070058E-01
  164.000000    2.6442905321E-20    7.5982022689E-01
  165.000000    3.7512510272E-20    1.0778983519E+00
  166.000000    9.9410665055E-20    2.8565028373E+00
  167.000000    1.6139368368E-19    4.6375458318E+00
  168.000000    1.0027291865E-19    2.8812791511E+00
  169.000000    2.0586321331E-19    5.9153497525E+00
  170.000000    7.0398210629E-19    2.0228482356E+01
  171.000000    5.0029963850E-19    1.4375794952E+01
  172.000000    1.7456085238E-19    5.0158961297E+00
  173.000000    2.2318933031E-19    6.4132048100E+00
  174.000000    1.6220802564E-19    4.6609454350E+00
  175.000000    1.2096042032E-19    3.4757214798E+00
  176.000000    7.0829628005E-19    2.0352447421E+01
  177.000000    2.8219156842E-19    8.1085969540E+00
  178.000000    2.7149104816E-19    7.8011242449E+00
  179.000000    1.0424559573E-19    2.9954315244E+00
  180.000000    5.6006809578E-20    1.6093203921E+00
  181.000000    1.9435815014E-19    5.5847590099E+00
  182.000000    1.1193891170E-19    3.2164941126E+00
  183.000000    4.1677213641E-20    1.1975684797E+00
  184.000000    3.0617334875E-20    8.7976983045E-01
  185.000000    2.2505241284E-20    6.4667393129E-01
  186.000000    2.8424600357E-20    8.1676298538E-01
  187.000000    5.9701737356E-20    1.7154918143E+00
  188.000000    2.3645973909E-19    6.7945216466E+00
  189.000000    9.6493728249E-20    2.7726864957E+00
  190.000000    3.5546645755E-20    1.0214104734E+00
  191.000000    2.5787659992E-20    7.4099216513E-01
  192.000000    3.2258086116E-20    9.2691578379E-01
  193.000000    1.0638292177E-19    3.0568462418E+00
  194.000000    2.5148732398E-19    7.2263298318E+00
  195.000000    1.1670457322E-19    3.3534323942E+00
  196.000000    9.2219842386E-20    2.6498790777E+00
  197.000000    6.1849433649E-20    1.7772045143E+00
  198.000000    6.8505244658E-20    1.9684550509E+00
  199.000000    5.3185499731E-20    1.5282518309E+00
  200.000000    8.6682954306E-20    2.4907800867E+00
  201.000000    1.9242396929E-19    5.5291815414E+00
  202.000000    9.1914077876E-19    2.6410931272E+01
  203.000000    2.3445217649E-18    6.7368356000E+01
  204.000000    3.0585684567E-19    8.7886037881E+00
  205.000000    1.1664887993E-19    3.3518320827E+00
  206.000000    8.2168423310E-20    2.3610578824E+00
  207.000000    1.1665959501E-19    3.3521399738E+00
  208.000000    5.1755939537E-19    1.4871743193E+01
  209.000000    4.1096167496E-19    1.1808724848E+01
  210.000000    9.3351336746E-20    2.6823918554E+00
  211.000000    6.1280690244E-20    1.7608620308E+00
  212.000000    8.6606405135E-20    2.4885804945E+00
  213.000000    1.3041749062E-19    3.7474644373E+00
  214.000000    1.7758219218E-19    5.1027124258E+00
  215.000000    9.0702926118E-20    2.6062914444E+00
