# Absorption Cross-sections (XS) & Absorbance
# Pure NH3
# Wavenumber range: 0-4000 cm-1, T: 296 K, P: 1 atm, step: 1 cm-1, Profile: Voigt, Wing: 50 HW, Scut: 1e-28 cm/mol
# XS in HITRAN-compatible units. Absorbance for path=1m in PNNL-compatible units. Definition in Eqs(7)-(9) of https://spectra.iao.ru/home.sim-theory.sp-functions.
# WN,cm-1      XS,cm**2/molecule   Absorbance,1/(ppm*m) (FORMAT F12.6,3X,E17.10,3X,E17.10)

    0.000000    1.0046847521E-22    2.8868983457E-03
    1.000000    2.5242109411E-22    7.2531611284E-03
    2.000000    5.7751115605E-23    1.6594419270E-03
    3.000000    2.3732281005E-23    6.8193214471E-04
    4.000000    1.5734391286E-23    4.5211782185E-04
    5.000000    1.4175373313E-23    4.0732042247E-04
    6.000000    1.2267113727E-23    3.5248778536E-04
    7.000000    1.2680754093E-23    3.6437348070E-04
    8.000000    1.3638963433E-23    3.9190702248E-04
    9.000000    1.5542456136E-23    4.4660268622E-04
   10.000000    1.8296294125E-23    5.2573248606E-04
   11.000000    2.2557273355E-23    6.4816904006E-04
   12.000000    2.8375901423E-23    8.1536365220E-04
   13.000000    3.7516643630E-23    1.0780171214E-03
   14.000000    5.3553594605E-23    1.5388288053E-03
   15.000000    8.9929605797E-23    2.5840705721E-03
   16.000000    1.4787013374E-22    4.2489551434E-03
   17.000000    2.8741359606E-22    8.2586486287E-03
   18.000000    9.4452162051E-22    2.7140233771E-02
   19.000000    8.6813250272E-21    2.4945240592E-01
   20.000000    1.3241357439E-21    3.8048206471E-02
   21.000000    3.6290040292E-22    1.0427714471E-02
   22.000000    1.8630204688E-22    5.3532719575E-03
   23.000000    1.6171078894E-22    4.6466576515E-03
   24.000000    1.6593529194E-22    4.7680460843E-03
   25.000000    2.6506056219E-22    7.6163482815E-03
   26.000000    3.2325249267E-22    9.2884567462E-03
   27.000000    1.8430486103E-22    5.2958840803E-03
   28.000000    1.9805593513E-22    5.6910125322E-03
   29.000000    2.6017284290E-22    7.4759027467E-03
   30.000000    3.0709737540E-22    8.8242496284E-03
   31.000000    4.0062024547E-22    1.1511570386E-02
   32.000000    6.4053913501E-22    1.8405488541E-02
