# Absorption Cross-sections (XS) & Absorbance
# Pure O2
# Wavenumber range: 0-4000 cm-1, T: 296 K, P: 1 atm, step: 1 cm-1, Profile: Voigt, Wing: 50 HW, Scut: 1e-28 cm/mol
# XS in HITRAN-compatible units. Absorbance for path=1m in PNNL-compatible units. Definition in Eqs(7)-(9) of https://spectra.iao.ru/home.sim-theory.sp-functions.
# WN,cm-1      XS,cm**2/molecule   Absorbance,1/(ppm*m) (FORMAT F12.6,3X,E17.10,3X,E17.10)

    0.000000    6.3870639447E-27    1.8352825897E-07
    1.000000    2.6128627322E-26    7.5078964656E-07
    2.000000    5.2403131852E-24    1.5057709828E-04
    3.000000    2.7871227816E-26    8.0086217402E-07
    4.000000    3.8749507715E-25    1.1134426942E-05
    5.000000    1.6798132801E-27    4.8268376417E-08
    6.000000    4.3854601180E-28    1.2601343390E-08
    7.000000    8.4274099899E-30    2.4215631727E-10
    8.000000    1.2594026559E-28    3.6188141966E-09
    9.000000    4.4126042903E-29    1.2679340459E-09
   10.000000    6.4203787187E-28    1.8448553801E-08
   11.000000    6.7606501404E-28    1.9426302296E-08
   12.000000    5.4877825882E-27    1.5768797568E-07
   13.000000    4.1755533898E-27    1.1998189630E-07
   14.000000    1.3816274383E-25    3.9700194092E-06
   15.000000    7.4120319477E-27    2.1298006886E-07
   16.000000    2.7482203354E-26    7.8968380117E-07
   17.000000    3.1198699429E-27    8.9647497470E-08
   18.000000    5.8573172162E-28    1.6830632043E-08
   19.000000    9.5979168072E-28    2.7579009332E-08
   20.000000    1.3660785221E-29    3.9253405781E-10
   21.000000    7.5067254595E-28    2.1570102727E-08
   22.000000    3.2132769020E-28    9.2331487599E-09
   23.000000    2.2433334166E-27    6.4460772555E-08
   24.000000    5.1060880707E-26    1.4672022417E-06
   25.000000    1.0838819397E-26    3.1144664754E-07
   26.000000    1.7124707782E-25    4.9206769053E-06
   27.000000    7.7564362573E-27    2.2287630974E-07
   28.000000    6.6458029046E-26    1.9096295999E-06
   29.000000    1.5896139774E-27    4.5676556275E-08
   30.000000    1.0601178978E-27    3.0461819979E-08
   31.000000    1.7500068034E-29    5.0285343091E-10
   32.000000    2.9828355081E-28    8.5709899309E-09
   33.000000    2.8436078099E-28    8.1709279108E-09
   34.000000    1.4419910706E-27    4.1434705042E-08
   35.000000    1.0646562841E-26    3.0592227651E-07
   36.000000    8.2652562270E-27    2.3749693104E-07
   37.000000    5.4733904946E-26    1.5727442794E-06
   38.000000    2.1721039881E-26    6.2414039796E-07
   39.000000    2.1626190732E-26    6.2141496742E-07
   40.000000    5.8072325894E-27    1.6686717023E-07
   41.000000    1.1659654562E-27    3.3503282891E-08
   42.000000    1.9577816742E-29    5.6255623117E-10
   43.000000    6.7069392488E-29    1.9271967432E-09
   44.000000    2.6117471042E-28    7.5046907788E-09
   45.000000    4.4237146008E-28    1.2711265237E-08
   46.000000    3.0905358622E-27    8.8804601140E-08
   47.000000    1.5729937287E-25    4.5198983899E-06
   48.000000    1.0828908656E-26    3.1116186864E-07
   49.000000    1.0437831902E-24    2.9992452447E-05
   50.000000    9.8398700022E-27    2.8274246596E-07
   51.000000    1.2851589702E-25    3.6928233432E-06
   52.000000    1.9586053966E-27    5.6279292263E-08
   53.000000    5.3510705923E-28    1.5375964260E-08
   54.000000    3.0564615488E-29    8.7825497208E-10
   55.000000    4.5874310482E-28    1.3181694135E-08
   56.000000    2.6856119164E-28    7.7169366636E-09
   57.000000    1.8115594372E-27    5.2054019248E-08
   58.000000    9.6577546245E-27    2.7750949530E-07
   59.000000    9.0954227124E-27    2.6135124204E-07
   60.000000    3.4877741927E-26    1.0021899433E-06
   61.000000    2.4806546318E-26    7.1280048175E-07
   62.000000    1.7186580544E-26    4.9384556537E-07
   63.000000    5.3062213319E-27    1.5247092736E-07
   64.000000    8.0054398163E-28    2.3003127015E-08
   65.000000    1.7308690530E-29    4.9735431889E-10
   66.000000    3.2756019520E-28    9.4122358650E-09
   67.000000    1.6741763865E-28    4.8106403832E-09
   68.000000    5.6147525969E-27    1.6133637890E-07
   69.000000    2.2549894806E-27    6.4795702211E-08
   70.000000    1.2468402540E-25    3.5827169261E-06
   71.000000    7.7616827430E-27    2.2302706420E-07
   72.000000    2.0701194628E-24    5.9483578707E-05
   73.000000    7.9185330014E-27    2.2753405757E-07
   74.000000    9.0299505192E-26    2.5946993982E-06
   75.000000    1.3555602656E-27    3.8951170307E-08
   76.000000    3.8296036991E-28    1.1004124986E-08
   77.000000    4.1054896954E-29    1.1796866017E-09
   78.000000    1.5263065065E-29    4.3857455978E-10
   79.000000    5.4670148789E-28    1.5709122864E-08
   80.000000    5.4476484580E-28    1.5653474673E-08
   81.000000    7.5633046111E-27    2.1732679355E-07
   82.000000    4.9341514804E-27    1.4177973455E-07
   83.000000    2.1724909717E-26    6.2425159528E-07
   84.000000    1.7239194302E-26    4.9535738857E-07
   85.000000    1.2497511267E-26    3.5910811353E-07
   86.000000    3.1434871853E-27    9.0326124051E-08
   87.000000    4.8299796259E-28    1.3878642194E-08
   88.000000    1.2815585963E-29    3.6824778956E-10
   89.000000    1.5921002511E-29    4.5747997784E-10
   90.000000    1.6756591601E-28    4.8149010396E-09
   91.000000    2.2997387013E-28    6.6081542878E-09
   92.000000    1.4319028710E-27    4.1144826982E-08
   93.000000    3.3187000937E-26    9.5360756602E-07
   94.000000    4.5833284482E-27    1.3169905572E-07
   95.000000    8.4754792643E-25    2.4353755759E-05
   96.000000    4.4715892121E-27    1.2848829917E-07
   97.000000    2.6732790293E-26    7.6814988895E-07
   98.000000    6.5779401999E-28    1.8901296792E-08
   99.000000    2.5155016012E-30    7.2281353887E-11
  100.000000    1.7878077404E-29    5.1371529204E-10
  101.000000    2.2650888890E-29    6.5085902350E-10
  102.000000    1.0834275569E-28    3.1131608351E-09
  103.000000    3.0626606364E-28    8.8003624087E-09
  104.000000    5.9568438509E-27    1.7116615559E-07
  105.000000    2.1706471992E-27    6.2372179885E-08
  106.000000    1.3740165179E-26    3.9481499090E-07
  107.000000    7.1251019636E-27    2.0473531652E-07
  108.000000    9.6106069504E-27    2.7615473659E-07
  109.000000    1.1298633379E-27    3.2465911266E-08
  110.000000    2.0559738733E-28    5.9077114102E-09
  111.000000    2.5732757031E-29    7.3941456312E-10
  112.000000    7.2722300849E-30    2.0896295040E-10
  113.000000    4.3619922905E-29    1.2533910066E-09
