# Absorption Cross-sections (XS) & Absorbance
# [Non-airy] IAO model, high latitude, summer, H=0
# Wavenumber range: 0-4000 cm-1, T: 296 K, P: 1 atm, step: 1 cm-1, Profile: Voigt, Wing: 50 HW, Scut: 1e-28 cm/mol
# XS in HITRAN-compatible units. Absorbance for path=1m in PNNL-compatible units. Definition in Eqs(7)-(9) of https://spectra.iao.ru/home.sim-theory.sp-functions.
# WN,cm-1      XS,cm**2/molecule   Absorbance,1/(ppm*m) (FORMAT F12.6,3X,E17.10,3X,E17.10)

    0.000000    1.7487453831E-25    5.0249096975E-06
    1.000000    2.0148367337E-25    5.7895064312E-06
    2.000000    1.3625360985E-24    3.9151616470E-05
    3.000000    3.2622841141E-25    9.3739678965E-06
    4.000000    4.5300886844E-25    1.3016924465E-05
    5.000000    4.6323303883E-25    1.3310709560E-05
    6.000000    7.6994522532E-25    2.2123891028E-05
    7.000000    6.4061476924E-25    1.8407661844E-05
    8.000000    7.3984610592E-25    2.1259011793E-05
    9.000000    9.0061450703E-25    2.5878590524E-05
   10.000000    1.4576313085E-24    4.1884117425E-05
   11.000000    2.1660495827E-24    6.2240070272E-05
   12.000000    3.3101939088E-24    9.5116336735E-05
   13.000000    4.8418557251E-24    1.3912767417E-04
   14.000000    5.0219323114E-24    1.4430206144E-04
   15.000000    1.0306431973E-23    2.9614883029E-04
   16.000000    1.0650499644E-23    3.0603539807E-04
   17.000000    2.1526817832E-23    6.1855954974E-04
   18.000000    9.5190011368E-23    2.7352250124E-03
   19.000000    1.3041598533E-22    3.7474211838E-03
   20.000000    2.7201561669E-23    7.8161973912E-04
   21.000000    1.3963197007E-23    4.0122366998E-04
   22.000000    1.0716308391E-23    3.0792637096E-04
   23.000000    1.2819719598E-23    3.6836656697E-04
   24.000000    2.8787856842E-23    8.2720093164E-04
   25.000000    1.5672355682E-22    4.5033526784E-03
   26.000000    3.7200412601E-23    1.0689304220E-03
   27.000000    1.5118857412E-23    4.3443084372E-04
   28.000000    1.1972042925E-23    3.4400911175E-04
   29.000000    1.3022823827E-23    3.7420263904E-04
   30.000000    1.7260448717E-23    4.9596812078E-04
   31.000000    2.5261213008E-23    7.2586504268E-04
   32.000000    4.6047035465E-23    1.3231325571E-03
   33.000000    1.3763998754E-22    3.9549983365E-03
   34.000000    6.5701127537E-23    1.8878805118E-03
   35.000000    1.0105735939E-22    2.9038195616E-03
   36.000000    3.5070186310E-22    1.0077197114E-02
   37.000000    6.8672181776E-22    1.9732518838E-02
   38.000000    4.2525365489E-22    1.2219395888E-02
   39.000000    7.8247822610E-22    2.2484018911E-02
   40.000000    3.6393391490E-22    1.0457411787E-02
   41.000000    3.4543035626E-22    9.9257236858E-03
   42.000000    9.8734142493E-23    2.8370633877E-03
   43.000000    5.9920007750E-23    1.7217636765E-03
   44.000000    7.2570007066E-23    2.0852534381E-03
   45.000000    5.9772767101E-23    1.7175328092E-03
   46.000000    1.2305335971E-22    3.5358607746E-03
   47.000000    7.0103606813E-22    2.0143829805E-02
   48.000000    1.4843361828E-22    4.2651465165E-03
   49.000000    6.6054235465E-23    1.8980268457E-03
   50.000000    5.8298816281E-23    1.6751797609E-03
   51.000000    7.2071475513E-23    2.0709284480E-03
   52.000000    1.1316093483E-22    3.2516081774E-03
   53.000000    2.9143717069E-22    8.3742635110E-03
   54.000000    4.1343960177E-22    1.1879926514E-02
   55.000000    1.1781106053E-21    3.3852266102E-02
   56.000000    1.9087233932E-21    5.4845964318E-02
   57.000000    1.6281413313E-21    4.6783615520E-02
   58.000000    7.2731172802E-22    2.0898844340E-02
   59.000000    4.1074564359E-22    1.1802517322E-02
   60.000000    5.2222761747E-22    1.5005881615E-02
   61.000000    2.1625935731E-22    6.2140764014E-03
   62.000000    6.0664944314E-22    1.7431689594E-02
   63.000000    3.5607460313E-22    1.0231579414E-02
   64.000000    6.6550683522E-22    1.9122919679E-02
   65.000000    1.6378610140E-22    4.7062904478E-03
   66.000000    1.0217917093E-22    2.9360541097E-03
   67.000000    1.5219606081E-22    4.3732579325E-03
   68.000000    4.4356016725E-22    1.2745421988E-02
   69.000000    3.2518473069E-22    9.3439783887E-03
   70.000000    1.9185570259E-22    5.5128527559E-03
   71.000000    2.7847649341E-22    8.0018466138E-03
   72.000000    1.2554474081E-21    3.6074490411E-02
   73.000000    1.2556661749E-21    3.6080776539E-02
   74.000000    1.3912542192E-21    3.9976813578E-02
   75.000000    9.5124794431E-22    2.7333510448E-02
   76.000000    8.2202645389E-22    2.3620412323E-02
   77.000000    3.2662081786E-22    9.3852434488E-03
   78.000000    6.0252086683E-22    1.7313057555E-02
   79.000000    9.2884013993E-22    2.6689636305E-02
   80.000000    1.2886698996E-21    3.7029117777E-02
   81.000000    4.9451798507E-22    1.4209662783E-02
   82.000000    1.4110011351E-21    4.0544228767E-02
   83.000000    4.1258597330E-22    1.1855398037E-02
   84.000000    2.2147244759E-22    6.3638712664E-03
   85.000000    2.5619607595E-22    7.3616328537E-03
   86.000000    4.2599350075E-22    1.2240654892E-02
   87.000000    1.0858519461E-21    3.1201271647E-02
   88.000000    5.1535822273E-21    1.4808493884E-01
   89.000000    1.6975782324E-21    4.8778841130E-02
   90.000000    8.6114483539E-22    2.4744454373E-02
   91.000000    8.0416676899E-22    2.3107225528E-02
   92.000000    1.9633583458E-21    5.6415865262E-02
   93.000000    2.0665201126E-21    5.9380153647E-02
   94.000000    7.6058196521E-22    2.1854843647E-02
   95.000000    5.4764922391E-22    1.5736355461E-02
   96.000000    1.4858723452E-21    4.2695605825E-02
   97.000000    6.2474193628E-22    1.7951565987E-02
   98.000000    8.5089709758E-22    2.4449992082E-02
   99.000000    3.5789985046E-21    1.0284026746E-01
  100.000000    3.3314424115E-21    9.5726899077E-02
  101.000000    3.1913267730E-21    9.1700764470E-02
  102.000000    1.0307398911E-21    2.9617661465E-02
  103.000000    5.5195115541E-22    1.5859968753E-02
  104.000000    1.3248603828E-21    3.8069028515E-02
  105.000000    1.9472110630E-21    5.5951883264E-02
  106.000000    1.7276157078E-21    4.9641949063E-02
  107.000000    7.2406392516E-22    2.0805520770E-02
  108.000000    7.2447005439E-22    2.0817190638E-02
  109.000000    2.6754461704E-22    7.6877260329E-03
  110.000000    3.8342603830E-22    1.1017505674E-02
  111.000000    1.9430295740E-21    5.5831730812E-02
  112.000000    4.7921830058E-22    1.3770035987E-02
  113.000000    1.8223620350E-22    5.2364425090E-03
  114.000000    1.2906353804E-22    3.7085594629E-03
  115.000000    1.3039484617E-22    3.7468137634E-03
  116.000000    2.0516522178E-22    5.8952934054E-03
  117.000000    3.8169966877E-22    1.0967899533E-02
  118.000000    9.9886537941E-22    2.8701767449E-02
  119.000000    6.0025781702E-22    1.7248030244E-02
  120.000000    2.6607391100E-21    7.6454662213E-02
  121.000000    1.8415626410E-21    5.2916142411E-02
  122.000000    6.2845706666E-21    1.8058317919E-01
  123.000000    1.4714992199E-21    4.2282603124E-02
