# Absorption Cross-sections (XS) & Absorbance
# Pure CH4
# Wavenumber range: 0-6200 cm-1, T: 296 K, P: 1 atm, step: 1 cm-1, Profile: Voigt, Wing: 50 HW, Scut: 1e-28 cm/mol
# XS in HITRAN-compatible units. Absorbance for path=1m in PNNL-compatible units. Definition in Eqs(7)-(9) of https://spectra.iao.ru/home.sim-theory.sp-functions.
# WN,cm-1      XS,cm**2/molecule   Absorbance,1/(ppm*m) (FORMAT F12.6,3X,E17.10,3X,E17.10)

    0.000000    5.5456320983E-31    1.5935024491E-11
    1.000000    9.9355639642E-31    2.8549217167E-11
    2.000000    2.4736674341E-30    7.1079275449E-11
    3.000000    1.2952966809E-29    3.7219534163E-10
    4.000000    1.0648822782E-28    3.0598721449E-09
    5.000000    1.5144695457E-29    4.3517328366E-10
    6.000000    4.4237683555E-29    1.2711419697E-09
    7.000000    9.6389124851E-30    2.7696807830E-10
    8.000000    9.6294502328E-30    2.7669618644E-10
    9.000000    5.4242600546E-29    1.5586269570E-09
   10.000000    6.5550845525E-28    1.8835622529E-08
   11.000000    2.0836120995E-28    5.9871281123E-09
   12.000000    3.2376307449E-29    9.3031279932E-10
   13.000000    5.6130025739E-29    1.6128609309E-09
   14.000000    5.7378486769E-28    1.6487346721E-08
   15.000000    5.0199614707E-27    1.4424543057E-07
   16.000000    4.0871643506E-28    1.1744209294E-08
   17.000000    3.7364348275E-28    1.0736410103E-08
   18.000000    8.0005402528E-28    2.2989048428E-08
   19.000000    9.7673797827E-27    2.8065950517E-07
   20.000000    1.1834916277E-27    3.4006886390E-08
   21.000000    1.2537699166E-27    3.6026288750E-08
   22.000000    7.3867975732E-27    2.1225497501E-07
   23.000000    1.8086672018E-26    5.1970912685E-07
   24.000000    1.6632247874E-26    4.7791716530E-07
   25.000000    6.4178236599E-27    1.8441212000E-07
   26.000000    2.4563385834E-26    7.0581341840E-07
   27.000000    5.4508593285E-27    1.5662700907E-07
   28.000000    6.0677312543E-27    1.7435243527E-07
   29.000000    1.6103864159E-26    4.6273439209E-07
   30.000000    1.2977054144E-26    3.7288747603E-07
   31.000000    1.1579442282E-26    3.3272797958E-07
   32.000000    2.0884664926E-27    6.0010769050E-08
   33.000000    1.7688753172E-26    5.0827517951E-07
   34.000000    6.1449846403E-26    1.7657226265E-06
   35.000000    6.5095476324E-26    1.8704775057E-06
   36.000000    1.0995740408E-26    3.1595567392E-07
   37.000000    8.8799902455E-27    2.5516092582E-07
   38.000000    2.3677791895E-26    6.8036643444E-07
