# Absorption Cross-sections (XS) & Absorbance
# Pure SO2
# Wavenumber range: 0-6200 cm-1, T: 296 K, P: 1 atm, step: 1 cm-1, Profile: Voigt, Wing: 50 HW, Scut: 1e-28 cm/mol
# XS in HITRAN-compatible units. Absorbance for path=1m in PNNL-compatible units. Definition in Eqs(7)-(9) of https://spectra.iao.ru/home.sim-theory.sp-functions.
# WN,cm-1      XS,cm**2/molecule   Absorbance,1/(ppm*m) (FORMAT F12.6,3X,E17.10,3X,E17.10)

    0.000000    2.2080709173E-22    6.3447526851E-03
    1.000000    2.9754066884E-22    8.5496436855E-03
    2.000000    4.4547726270E-22    1.2800508518E-02
    3.000000    6.5829994862E-22    1.8915834332E-02
    4.000000    1.1596926604E-21    3.3323038055E-02
    5.000000    1.6389420181E-21    4.7093966451E-02
    6.000000    2.3386523029E-21    6.7199700705E-02
    7.000000    3.6474468579E-21    1.0480708778E-01
    8.000000    4.9071722639E-21    1.4100450376E-01
    9.000000    6.3612363074E-21    1.8278611808E-01
   10.000000    7.0115346754E-21    2.0147203203E-01
   11.000000    9.4545696577E-21    2.7167110327E-01
   12.000000    1.3602458257E-20    3.9085806925E-01
   13.000000    1.2464019899E-20    3.5814576017E-01
   14.000000    1.3669750261E-20    3.9279166259E-01
   15.000000    2.2157550082E-20    6.3668324361E-01
   16.000000    1.8254864494E-20    5.2454203171E-01
   17.000000    1.7774428961E-20    5.1073701932E-01
   18.000000    2.5747306071E-20    7.3983262063E-01
   19.000000    2.9329624364E-20    8.4276828010E-01
   20.000000    2.1348455726E-20    6.1343442697E-01
   21.000000    2.5629961832E-20    7.3646080782E-01
   22.000000    4.2106676974E-20    1.2099088381E+00
   23.000000    2.5873964616E-20    7.4347207414E-01
   24.000000    2.6133843314E-20    7.5093952480E-01
   25.000000    4.0119698657E-20    1.1528142678E+00
   26.000000    3.5528079095E-20    1.0208769721E+00
   27.000000    2.9048810512E-20    8.3469927098E-01
   28.000000    3.4199187957E-20    9.8269212241E-01
   29.000000    4.9275661043E-20    1.4159050792E+00
   30.000000    2.8946569254E-20    8.3176143283E-01
   31.000000    3.2463856125E-20    9.3282845539E-01
   32.000000    5.9363333818E-20    1.7057680017E+00
   33.000000    3.6248736167E-20    1.0415845991E+00
   34.000000    3.2602912838E-20    9.3682416243E-01
   35.000000    4.5011485386E-20    1.2933766779E+00
   36.000000    4.2621815624E-20    1.2247110226E+00
   37.000000    3.2544983035E-20    9.3515958603E-01
   38.000000    3.6363267970E-20    1.0448755983E+00
   39.000000    6.1299825405E-20    1.7614118676E+00
   40.000000    3.8035857900E-20    1.0929364163E+00
   41.000000    3.7782441306E-20    1.0856546501E+00
   42.000000    6.7661333433E-20    1.9442057934E+00
   43.000000    4.3590384955E-20    1.2525422522E+00
   44.000000    3.7870581022E-20    1.0881872894E+00
   45.000000    4.8796127694E-20    1.4021259905E+00
   46.000000    4.0586155890E-20    1.1662176226E+00
   47.000000    4.3138527221E-20    1.2395584049E+00
   48.000000    4.1549446199E-20    1.1938971628E+00
   49.000000    4.6894370956E-20    1.3474802087E+00
   50.000000    3.8526974792E-20    1.1070483508E+00
   51.000000    4.4280830266E-20    1.2723817633E+00
   52.000000    5.3155758282E-20    1.5273972292E+00
   53.000000    4.0712213379E-20    1.1698398051E+00
   54.000000    3.7859466988E-20    1.0878679346E+00
   55.000000    6.2190240550E-20    1.7869973859E+00
   56.000000    3.9603976374E-20    1.1379953129E+00
   57.000000    3.4963059161E-20    1.0046414803E+00
   58.000000    4.7469035465E-20    1.3639928313E+00
   59.000000    3.5924015968E-20    1.0322539688E+00
   60.000000    3.8806517817E-20    1.1150808436E+00
   61.000000    3.4451091775E-20    9.8993041995E-01
   62.000000    3.9641807818E-20    1.1390823756E+00
   63.000000    2.9550462188E-20    8.4911391588E-01
   64.000000    3.7378817728E-20    1.0740567809E+00
   65.000000    2.8844787716E-20    8.2883680445E-01
   66.000000    2.9921112625E-20    8.5976432269E-01
   67.000000    3.2531868413E-20    9.3478274562E-01
   68.000000    2.4348650859E-20    6.9964314418E-01
   69.000000    3.0660158397E-20    8.8100033740E-01
   70.000000    2.3140881615E-20    6.6493865577E-01
   71.000000    2.9873845713E-20    8.5840613774E-01
   72.000000    2.0414667181E-20    5.8660260138E-01
   73.000000    2.3618643082E-20    6.7866683056E-01
   74.000000    2.2781673101E-20    6.5461702539E-01
   75.000000    1.9160179164E-20    5.5055567846E-01
   76.000000    1.9394535518E-20    5.5728976066E-01
   77.000000    1.8077969853E-20    5.1945907564E-01
   78.000000    1.7946060243E-20    5.1566873608E-01
   79.000000    1.5730130376E-20    4.5199538727E-01
   80.000000    1.4596688931E-20    4.1942666135E-01
   81.000000    1.4720283508E-20    4.2297807367E-01
   82.000000    1.3705485765E-20    3.9381849978E-01
   83.000000    1.2240084475E-20    3.5171111684E-01
   84.000000    1.1122799849E-20    3.1960664693E-01
   85.000000    1.1566752019E-20    3.3236333287E-01
   86.000000    1.0136651785E-20    2.9127030353E-01
   87.000000    9.2980800947E-21    2.6717447426E-01
   88.000000    9.1479298604E-21    2.6286000187E-01
   89.000000    8.2414459906E-21    2.3681275890E-01
   90.000000    7.4218011386E-21    2.1326078041E-01
   91.000000    6.6063631656E-21    1.8982968393E-01
   92.000000    6.5316250388E-21    1.8768213094E-01
   93.000000    5.9124893465E-21    1.6989165684E-01
   94.000000    5.2240331056E-21    1.5010930045E-01
   95.000000    4.8820073097E-21    1.4028140466E-01
   96.000000    4.7129684344E-21    1.3542417906E-01
