# Absorption Cross-sections (XS) & Absorbance
# [Non-airy] IAO model, mean latitude, summer, H=0
# Wavenumber range: 0-6200 cm-1, T: 296 K, P: 1 atm, step: 1 cm-1, Profile: Voigt, Wing: 50 HW, Scut: 1e-28 cm/mol
# XS in HITRAN-compatible units. Absorbance for path=1m in PNNL-compatible units. Definition in Eqs(7)-(9) of https://spectra.iao.ru/home.sim-theory.sp-functions.
# WN,cm-1      XS,cm**2/molecule   Absorbance,1/(ppm*m) (FORMAT F12.6,3X,E17.10,3X,E17.10)

    0.000000    4.1722105951E-25    1.1988584320E-05
    1.000000    4.7531314526E-25    1.3657823809E-05
    2.000000    1.7565328525E-24    5.0472865003E-05
    3.000000    7.7378894129E-25    2.2234337785E-05
    4.000000    9.7398141786E-25    2.7986742490E-05
    5.000000    1.1096743602E-24    3.1885793709E-05
    6.000000    1.8449213857E-24    5.3012653824E-05
    7.000000    1.5351226790E-24    4.4110783143E-05
    8.000000    1.7729396068E-24    5.0944302750E-05
    9.000000    2.1583186822E-24    6.2017927714E-05
   10.000000    3.4930574713E-24    1.0037080601E-04
   11.000000    5.1903415249E-24    1.4914119410E-04
   12.000000    7.9306343632E-24    2.2788178258E-04
   13.000000    1.1601251099E-23    3.3335464221E-04
   14.000000    1.1994127300E-23    3.4464369234E-04
   15.000000    2.4695014938E-23    7.0959569780E-04
   16.000000    2.5513764757E-23    7.3312195806E-04
   17.000000    5.1583966475E-23    1.4822327817E-03
   18.000000    2.2810480170E-22    6.5544477839E-03
   19.000000    3.1251657885E-22    8.9799670257E-03
   20.000000    6.5182883943E-23    1.8729891086E-03
   21.000000    3.3459243742E-23    9.6143029152E-04
   22.000000    2.5677730023E-23    7.3783339670E-04
   23.000000    3.0717150269E-23    8.8263796293E-04
   24.000000    6.8968444282E-23    1.9817648003E-03
   25.000000    3.7555347790E-22    1.0791292610E-02
   26.000000    8.9092419380E-23    2.5600145477E-03
   27.000000    3.6224957375E-23    1.0409013305E-03
   28.000000    2.8667782601E-23    8.2375067398E-04
   29.000000    3.1203215786E-23    8.9660474936E-04
   30.000000    4.1359445313E-23    1.1884376070E-03
   31.000000    6.0531694503E-23    1.7393401100E-03
   32.000000    1.1033923536E-22    3.1705284205E-03
   33.000000    3.2982618210E-22    9.4773475709E-03
   34.000000    1.5743794508E-22    4.5238801751E-03
   35.000000    2.4215871697E-22    6.9582781859E-03
   36.000000    8.4038591740E-22    2.4147959941E-02
   37.000000    1.6455825694E-21    4.7284778508E-02
   38.000000    1.0190318761E-21    2.9281239029E-02
   39.000000    1.8750516425E-21    5.3878427773E-02
   40.000000    8.7209466494E-22    2.5059090827E-02
   41.000000    8.2775570655E-22    2.3785038789E-02
   42.000000    2.3659341199E-22    6.7983626533E-03
   43.000000    1.4358392935E-22    4.1257937603E-03
   44.000000    1.7389770875E-22    4.9968411153E-03
   45.000000    1.4323080936E-22    4.1156470797E-03
   46.000000    2.9486917014E-22    8.4728798532E-03
   47.000000    1.6798532713E-21    4.8269525540E-02
   48.000000    3.5568739581E-22    1.0220453256E-02
   49.000000    1.5798194008E-22    4.5395115286E-03
   50.000000    1.3969436683E-22    4.0140296315E-03
   51.000000    1.7266521155E-22    4.9614260846E-03
   52.000000    2.7116545740E-22    7.7917685997E-03
   53.000000    6.9837133948E-22    2.0067260506E-02
   54.000000    9.9072736543E-22    2.8467926744E-02
   55.000000    2.8231185350E-21    8.1120532701E-02
   56.000000    4.5738961071E-21    1.3142802335E-01
   57.000000    3.9015332106E-21    1.1210809906E-01
   58.000000    1.7428599908E-21    5.0079983932E-02
   59.000000    9.8426686212E-22    2.8282288251E-02
   60.000000    1.2514066257E-21    3.5958381074E-02
   61.000000    5.1821502510E-22    1.4890582300E-02
   62.000000    1.4537137696E-21    4.1771549413E-02
   63.000000    8.5326250420E-22    2.4517960552E-02
   64.000000    1.5947596740E-21    4.5824414625E-02
   65.000000    3.9248082712E-22    1.1277689327E-02
   66.000000    2.4485142370E-22    7.0356514176E-03
   67.000000    3.6470718352E-22    1.0479631174E-02
   68.000000    1.0629057761E-21    3.0541927906E-02
   69.000000    7.7924021161E-22    2.2390976604E-02
   70.000000    4.5970895780E-22    1.3209447312E-02
   71.000000    6.6731252677E-22    1.9174805088E-02
   72.000000    3.0078456681E-21    8.6428550501E-02
   73.000000    3.0089650248E-21    8.6460714512E-02
   74.000000    3.3338532499E-21    9.5796172999E-02
   75.000000    2.2794863365E-21    6.5499603933E-02
   76.000000    1.9698314161E-21    5.6601864862E-02
   77.000000    7.8268450710E-22    2.2489946265E-02
   78.000000    1.4438260125E-21    4.1487430941E-02
   79.000000    2.2257873160E-21    6.3956596407E-02
   80.000000    3.0880456171E-21    8.8733045515E-02
   81.000000    1.1850156223E-21    3.4050677414E-02
   82.000000    3.3811987260E-21    9.7156615431E-02
   83.000000    9.8867860853E-22    2.8409057005E-02
   84.000000    5.3071198700E-22    1.5249674628E-02
   85.000000    6.1392214253E-22    1.7640666030E-02
   86.000000    1.0208130536E-21    2.9332420040E-02
   87.000000    2.6020413798E-21    7.4768019912E-02
   88.000000    1.2349597168E-20    3.5485789509E-01
   89.000000    4.0679296901E-21    1.1688939708E-01
   90.000000    2.0635729241E-21    5.9295468041E-02
   91.000000    1.9270358255E-21    5.5372160523E-02
   92.000000    4.7048216092E-21    1.3519008517E-01
   93.000000    4.9520204240E-21    1.4229318739E-01
   94.000000    1.8225914375E-21    5.2371016828E-02
   95.000000    1.3120943475E-21    3.7702204532E-02
   96.000000    3.5606141628E-21    1.0231200498E-01
   97.000000    1.4970690070E-21    4.3017334849E-02
   98.000000    2.0390082056E-21    5.8589616330E-02
   99.000000    8.5763957777E-21    2.4643733003E-01
  100.000000    7.9831715265E-21    2.2939140487E-01
  101.000000    7.6474173530E-21    2.1974372020E-01
  102.000000    2.4699756967E-21    7.0973195700E-02
  103.000000    1.3226477871E-21    3.8005450969E-02
  104.000000    3.1747788209E-21    9.1225269489E-02
  105.000000    4.6661275736E-21    1.3407823643E-01
  106.000000    4.1399051736E-21    1.1895756726E-01
  107.000000    1.7350821790E-21    4.9856493412E-02
  108.000000    1.7360548991E-21    4.9884443909E-02
  109.000000    6.4112113205E-22    1.8422211860E-02
  110.000000    9.1880906527E-22    2.6401399693E-02
  111.000000    4.6561075574E-21    1.3379031758E-01
  112.000000    1.1483573438E-21    3.2997324874E-02
  113.000000    4.3669503822E-22    1.2548156830E-02
  114.000000    3.0927650746E-22    8.8868656154E-03
  115.000000    3.1246647452E-22    8.9785273092E-03
  116.000000    4.9163820873E-22    1.4126914224E-02
  117.000000    9.1466960394E-22    2.6282454880E-02
  118.000000    2.3935594318E-21    6.8777422467E-02
  119.000000    1.4383931795E-21    4.1331321907E-02
  120.000000    6.3759577579E-21    1.8320912968E-01
  121.000000    4.4129601010E-21    1.2680362859E-01
  122.000000    1.5059799558E-20    4.3273385347E-01
  123.000000    3.5261729231E-21    1.0132235766E-01
  124.000000    1.4299054672E-21    4.1087432843E-02
  125.000000    1.3683580862E-21    3.9318907619E-02
  126.000000    3.3141622646E-21    9.5230364940E-02
  127.000000    1.4098034271E-20    4.0509813382E-01
  128.000000    3.0399448241E-21    8.7350899529E-02
  129.000000    1.4460375454E-21    4.1550977946E-02
  130.000000    1.0325957855E-21    2.9670989420E-02
  131.000000    1.9613823355E-21    5.6359085852E-02
  132.000000    6.7029658666E-21    1.9260550169E-01
  133.000000    7.8136399203E-21    2.2452002096E-01
  134.000000    2.0216507280E-21    5.8090860144E-02
  135.000000    9.7320658310E-22    2.7964478101E-02
  136.000000    8.6550285663E-22    2.4869679368E-02
  137.000000    1.0077908337E-21    2.8958234755E-02
  138.000000    2.5505181147E-21    7.3287531344E-02
  139.000000    1.6796268035E-20    4.8263018131E-01
  140.000000    7.1117848059E-21    2.0435265638E-01
  141.000000    4.4053563207E-21    1.2658513875E-01
  142.000000    1.3821843327E-21    3.9716196102E-02
  143.000000    6.6941389599E-22    1.9235186609E-02
  144.000000    5.3642910178E-22    1.5413952320E-02
  145.000000    6.0954810430E-22    1.7514980796E-02
  146.000000    6.9132815366E-22    1.9864878998E-02
  147.000000    1.0900323631E-21    3.1321393296E-02
  148.000000    2.5157321462E-21    7.2287978454E-02
  149.000000    1.1262229078E-20    3.2361305799E-01
  150.000000    1.3691653352E-20    3.9342103412E-01
  151.000000    1.6960644118E-20    4.8735342450E-01
  152.000000    5.0446624638E-21    1.4495519805E-01
  153.000000    6.3765694447E-21    1.8322670612E-01
  154.000000    4.8995566745E-21    1.4078567460E-01
  155.000000    1.5218614345E-21    4.3729729636E-02
  156.000000    1.7445069310E-21    5.0127307722E-02
  157.000000    3.2944774165E-21    9.4664733230E-02
  158.000000    1.3704532611E-20    3.9379111151E-01
  159.000000    2.2595437214E-21    6.4926565451E-02
  160.000000    9.9949179880E-22    2.8719767216E-02
  161.000000    5.2996432307E-22    1.5228190976E-02
  162.000000    4.8024972897E-22    1.3799673432E-02
  163.000000    3.7570604443E-22    1.0795676513E-02
  164.000000    4.1250928259E-22    1.1853194378E-02
  165.000000    5.8519510397E-22    1.6815212673E-02
  166.000000    1.5508062401E-21    4.4561440389E-02
  167.000000    2.5177412512E-21    7.2345708819E-02
  168.000000    1.5642573568E-21    4.4947949755E-02
  169.000000    3.2114659493E-21    9.2279451012E-02
  170.000000    1.0982120351E-20    3.1556431016E-01
  171.000000    7.8046736122E-21    2.2426237975E-01
  172.000000    2.7231487946E-21    7.8247965185E-02
  173.000000    3.4817532814E-21    1.0004598724E-01
  174.000000    2.5304451443E-21    7.2710747185E-02
  175.000000    1.8869831016E-21    5.4221270733E-02
  176.000000    1.1049426616E-20    3.1749831331E-01
  177.000000    4.4021941560E-21    1.2649427594E-01
  178.000000    4.2352635231E-21    1.2169762936E-01
  179.000000    1.6262321604E-21    4.6728756697E-02
  180.000000    8.7370641930E-22    2.5105403573E-02
  181.000000    3.0319869815E-21    8.7122235934E-02
  182.000000    1.7462465449E-21    5.0177294432E-02
  183.000000    6.5016421224E-22    1.8682059072E-02
  184.000000    4.7763013696E-22    1.3724401106E-02
  185.000000    3.5108135120E-22    1.0088101466E-02
  186.000000    4.4342392346E-22    1.2741507109E-02
  187.000000    9.3134676974E-22    2.6761662733E-02
  188.000000    3.6887716393E-21    1.0599452934E-01
  189.000000    1.5053019115E-21    4.3253902173E-02
  190.000000    5.5452737156E-22    1.5933994701E-02
  191.000000    4.0228730205E-22    1.1559472206E-02
  192.000000    5.0322610618E-22    1.4459885157E-02
  193.000000    1.6595735196E-21    4.7686799649E-02
  194.000000    3.9232024345E-21    1.1273075056E-01
  195.000000    1.8205927863E-21    5.2313586844E-02
  196.000000    1.4386332423E-21    4.1338219962E-02
  197.000000    9.6485395001E-22    2.7724470451E-02
  198.000000    1.0686826956E-21    3.0707924049E-02
  199.000000    8.2969432314E-22    2.3840743715E-02
  200.000000    1.3522540791E-21    3.8856169119E-02
  201.000000    3.0018136330E-21    8.6255223774E-02
  202.000000    1.4338595553E-20    4.1201051073E-01
  203.000000    3.6574538422E-20    1.0509463217E+00
  204.000000    4.7713665088E-21    1.3710221094E-01
  205.000000    1.8197221862E-21    5.2288570698E-02
  206.000000    1.2818270144E-21    3.6832491781E-02
  207.000000    1.8198893899E-21    5.2293375193E-02
  208.000000    8.0739257002E-21    2.3199916888E-01
  209.000000    6.4110015311E-21    1.8421609043E-01
  210.000000    1.4562805498E-21    4.1845304224E-02
  211.000000    9.5597841569E-22    2.7469437563E-02
  212.000000    1.3510596897E-21    3.8821849094E-02
  213.000000    2.0345128000E-21    5.8460443683E-02
  214.000000    2.7702831904E-21    7.9602342356E-02
  215.000000    1.4149675007E-21    4.0658199784E-02
  216.000000    4.3130151652E-22    1.2393177382E-02
  217.000000    3.6583520812E-22    1.0512044250E-02
  218.000000    2.8275735479E-22    8.1248544690E-03
  219.000000    3.3616217802E-22    9.6594084224E-03
  220.000000    5.6371021481E-22    1.6197857917E-02
