# Absorption coefficients
# Pure SO2
# Wavenumber range: 0-7500 cm-1, T: 296 K, P: 1 atm, step: 1 cm-1, Profile: Voigt, Wing: 50 HW, Scut: 1e-28 cm/mol
# KNa, Ka and thier units definition in Eqs(2)-(3) of  https://spectra.iao.ru/home.sim-theory.sp-functions.
# WN,cm-1           KNa,cm-1       Ka,cm**2/molecule (FORMAT F12.6,3X,E17.10,3X,E17.10)

    0.000000    5.4746288864E-03    2.2080709173E-22
    1.000000    7.3771396006E-03    2.9754066884E-22
    2.000000    1.1045037872E-02    4.4547726269E-22
    3.000000    1.6321703648E-02    6.5829994863E-22
    4.000000    2.8753093426E-02    1.1596926603E-21
    5.000000    4.0635467118E-02    1.6389420181E-21
    6.000000    5.7983886985E-02    2.3386523029E-21
    7.000000    9.0433770823E-02    3.6474468579E-21
    8.000000    1.2166704799E-01    4.9071722639E-21
    9.000000    1.5771870264E-01    6.3612363073E-21
   10.000000    1.7384201735E-01    7.0115346756E-21
   11.000000    2.3441393911E-01    9.4545696579E-21
   12.000000    3.3725552163E-01    1.3602458257E-20
   13.000000    3.0902940138E-01    1.2464019899E-20
   14.000000    3.3892394063E-01    1.3669750261E-20
   15.000000    5.4936806050E-01    2.2157550082E-20
   16.000000    4.5260597244E-01    1.8254864494E-20
   17.000000    4.4069418906E-01    1.7774428961E-20
   18.000000    6.3837146017E-01    2.5747306071E-20
   19.000000    7.2719045167E-01    2.9329624364E-20
   20.000000    5.2930760275E-01    2.1348455725E-20
   21.000000    6.3546206012E-01    2.5629961832E-20
   22.000000    1.0439810980E+00    4.2106676975E-20
   23.000000    6.4151179649E-01    2.5873964616E-20
   24.000000    6.4795515577E-01    2.6133843314E-20
   25.000000    9.9471651685E-01    4.0119698657E-20
   26.000000    8.8087319373E-01    3.5528079095E-20
   27.000000    7.2022803207E-01    2.9048810512E-20
   28.000000    8.4792504087E-01    3.4199187957E-20
   29.000000    1.2217268713E+00    4.9275661042E-20
   30.000000    7.1769309109E-01    2.8946569254E-20
   31.000000    8.0489971184E-01    3.2463856125E-20
   32.000000    1.4718377909E+00    5.9363333819E-20
   33.000000    8.9874096235E-01    3.6248736167E-20
   34.000000    8.0834744484E-01    3.2602912838E-20
   35.000000    1.1160021002E+00    4.5011485384E-20
   36.000000    1.0567533007E+00    4.2621815624E-20
   37.000000    8.0691114960E-01    3.2544983035E-20
   38.000000    9.0158063164E-01    3.6363267970E-20
   39.000000    1.5198506183E+00    6.1299825404E-20
   40.000000    9.4305035561E-01    3.8035857900E-20
   41.000000    9.3676721589E-01    3.7782441306E-20
   42.000000    1.6775760579E+00    6.7661333434E-20
   43.000000    1.0807677361E+00    4.3590384954E-20
   44.000000    9.3895252721E-01    3.7870581022E-20
   45.000000    1.2098374564E+00    4.8796127695E-20
   46.000000    1.0062817262E+00    4.0586155890E-20
   47.000000    1.0695645026E+00    4.3138527219E-20
   48.000000    1.0301652750E+00    4.1549446198E-20
   49.000000    1.1626858351E+00    4.6894370955E-20
   50.000000    9.5522696959E-01    3.8526974792E-20
   51.000000    1.0978864428E+00    4.4280830265E-20
   52.000000    1.3179289102E+00    5.3155758283E-20
   53.000000    1.0094071601E+00    4.0712213381E-20
   54.000000    9.3867696897E-01    3.7859466988E-20
   55.000000    1.5419273208E+00    6.2190240552E-20
   56.000000    9.8192984370E-01    3.9603976374E-20
   57.000000    8.6686424850E-01    3.4963059161E-20
   58.000000    1.1769339052E+00    4.7469035466E-20
   59.000000    8.9068994112E-01    3.5924015968E-20
   60.000000    9.6215788068E-01    3.8806517817E-20
   61.000000    8.5417067324E-01    3.4451091776E-20
   62.000000    9.8286782588E-01    3.9641807818E-20
   63.000000    7.3266584254E-01    2.9550462189E-20
   64.000000    9.2675988650E-01    3.7378817728E-20
   65.000000    7.1516954828E-01    2.8844787716E-20
   66.000000    7.4185564515E-01    2.9921112625E-20
   67.000000    8.0658598935E-01    3.2531868413E-20
   68.000000    6.0369359649E-01    2.4348650859E-20
   69.000000    7.6017933802E-01    3.0660158397E-20
   70.000000    5.7374850577E-01    2.3140881615E-20
   71.000000    7.4068372263E-01    2.9873845713E-20
   72.000000    5.0615551240E-01    2.0414667181E-20
   73.000000    5.8559398912E-01    2.3618643082E-20
   74.000000    5.6484239097E-01    2.2781673101E-20
   75.000000    4.7505208957E-01    1.9160179164E-20
   76.000000    4.8086265505E-01    1.9394535518E-20
   77.000000    4.4822009650E-01    1.8077969853E-20
   78.000000    4.4494956675E-01    1.7946060243E-20
   79.000000    3.9000842531E-01    1.5730130376E-20
   80.000000    3.6190619712E-01    1.4596688931E-20
   81.000000    3.6497056629E-01    1.4720283508E-20
   82.000000    3.3980995665E-01    1.3705485765E-20
   83.000000    3.0347720951E-01    1.2240084475E-20
   84.000000    2.7577556895E-01    1.1122799849E-20
   85.000000    2.8678279410E-01    1.1566752019E-20
   86.000000    2.5132529140E-01    1.0136651785E-20
   87.000000    2.3053398093E-01    9.2980800946E-21
   88.000000    2.2681119828E-01    9.1479298606E-21
   89.000000    2.0433609234E-01    8.2414459906E-21
   90.000000    1.8401404857E-01    7.4218011387E-21
   91.000000    1.6379630897E-01    6.6063631656E-21
   92.000000    1.6194327289E-01    6.5316250388E-21
   93.000000    1.4659259679E-01    5.9124893465E-21
   94.000000    1.2952320652E-01    5.2240331054E-21
   95.000000    1.2104311520E-01    4.8820073096E-21
   96.000000    1.1685201290E-01    4.7129684344E-21
   97.000000    1.0034592128E-01    4.0472316031E-21
   98.000000    8.9516996440E-02    3.6104707834E-21
   99.000000    8.8079638627E-02    3.5524981235E-21
  100.000000    7.7601947004E-02    3.1299035216E-21
  101.000000    6.8316685579E-02    2.7554029638E-21
  102.000000    6.2655102110E-02    2.5270554710E-21
  103.000000    5.8593456937E-02    2.3632379636E-21
  104.000000    5.0474772672E-02    2.0357887248E-21
  105.000000    4.4780196112E-02    1.8061105284E-21
  106.000000    4.3469989094E-02    1.7532662156E-21
  107.000000    3.7766689165E-02    1.5232361813E-21
  108.000000    3.2279634739E-02    1.3019279328E-21
  109.000000    2.9401139293E-02    1.1858301623E-21
  110.000000    2.7015031979E-02    1.0895917820E-21
  111.000000    2.3468539962E-02    9.4655184190E-22
  112.000000    2.0489268339E-02    8.2638948642E-22
  113.000000    1.9195972808E-02    7.7422726118E-22
  114.000000    1.6975702575E-02    6.8467755415E-22
  115.000000    1.4936856941E-02    6.0244520846E-22
  116.000000    1.4756627549E-02    5.9517605312E-22
  117.000000    1.1870352566E-02    4.7876451215E-22
  118.000000    1.0204598663E-02    4.1157999925E-22
  119.000000    8.7785509082E-03    3.5406350565E-22
  120.000000    8.1452809206E-03    3.2852195623E-22
  121.000000    6.7148913382E-03    2.7083034457E-22
  122.000000    6.0662142470E-03    2.4466738358E-22
  123.000000    5.4677160602E-03    2.2052827812E-22
  124.000000    4.8556541397E-03    1.9584210935E-22
  125.000000    4.2238881065E-03    1.7036121862E-22
  126.000000    4.6928970432E-03    1.8927766053E-22
  127.000000    3.4296141837E-03    1.3832593028E-22
  128.000000    3.0066370168E-03    1.2126607837E-22
  129.000000    2.6583439182E-03    1.0721844377E-22
  130.000000    2.4249281981E-03    9.7804135075E-23
  131.000000    2.0203324091E-03    8.1485655530E-23
  132.000000    1.7009544534E-03    6.8604249498E-23
  133.000000    1.5660687454E-03    6.3163931712E-23
  134.000000    1.3641144423E-03    5.5018549940E-23
  135.000000    1.2919903919E-03    5.2109585308E-23
  136.000000    1.7537042970E-03    7.0731798195E-23
  137.000000    1.0347120116E-03    4.1732828800E-23
  138.000000    9.0679991451E-04    3.6573776243E-23
  139.000000    8.5902278454E-04    3.4646790992E-23
  140.000000    7.3845546875E-04    2.9783974003E-23
  141.000000    6.8118539797E-04    2.7474111904E-23
  142.000000    6.0612236097E-04    2.4446609722E-23
  143.000000    5.7652437535E-04    2.3252840197E-23
  144.000000    5.3166920799E-04    2.1443705869E-23
  145.000000    6.2144187795E-04    2.5064488680E-23
  146.000000    8.4387839550E-04    3.4035975434E-23
  147.000000    4.3410931405E-04    1.7508842539E-23
  148.000000    4.0028844184E-04    1.6144752189E-23
  149.000000    3.9304740154E-04    1.5852700785E-23
  150.000000    3.5091117749E-04    1.4153229044E-23
  151.000000    3.0905395784E-04    1.2465010330E-23
  152.000000    3.0671318498E-04    1.2370600415E-23
  153.000000    2.8582890043E-04    1.1528278820E-23
  154.000000    2.8955118716E-04    1.1678409052E-23
  155.000000    3.7747464229E-04    1.5224607859E-23
  156.000000    3.4745287232E-04    1.4013745926E-23
  157.000000    2.4937758251E-04    1.0058095239E-23
  158.000000    2.3153629915E-04    9.3385063915E-24
  159.000000    2.4944959554E-04    1.0060999726E-23
  160.000000    2.0313312095E-04    8.1929267907E-24
  161.000000    1.9696800547E-04    7.9442704436E-24
  162.000000    1.8161073859E-04    7.3248689269E-24
  163.000000    1.9442644299E-04    7.8417621220E-24
  164.000000    1.9156064464E-04    7.7261764606E-24
  165.000000    4.1956656969E-04    1.6922292993E-23
  166.000000    1.9312824950E-04    7.7894023481E-24
  167.000000    1.6501424174E-04    6.6554858000E-24
  168.000000    1.6223803573E-04    6.5435136482E-24
  169.000000    1.6127050131E-04    6.5044902795E-24
  170.000000    1.4280152606E-04    5.7595848631E-24
  171.000000    1.3482339900E-04    5.4378046895E-24
  172.000000    1.4527803632E-04    5.8594694467E-24
  173.000000    1.2498110942E-04    5.0408376286E-24
  174.000000    1.6827906691E-04    6.7871653286E-24
  175.000000    1.8965622475E-04    7.6493658811E-24
  176.000000    1.2981347208E-04    5.2357403274E-24
  177.000000    1.1953691502E-04    4.8212580448E-24
  178.000000    1.2120579599E-04    4.8885686809E-24
  179.000000    1.1738056220E-04    4.7342863055E-24
  180.000000    1.0717148244E-04    4.3225255711E-24
  181.000000    1.1547583354E-04    4.6574632726E-24
  182.000000    1.1147614877E-04    4.4961448014E-24
  183.000000    1.2467175277E-04    5.0283604097E-24
  184.000000    1.8517266433E-04    7.4685313521E-24
  185.000000    1.3215737542E-04    5.3302765032E-24
  186.000000    1.2042699513E-04    4.8571574647E-24
  187.000000    1.2416526395E-04    5.0079322991E-24
  188.000000    1.3491419544E-04    5.4414667634E-24
  189.000000    1.2694487774E-04    5.1200418963E-24
  190.000000    1.3473371805E-04    5.4341876058E-24
  191.000000    1.3356048689E-04    5.3868679124E-24
  192.000000    1.4374437859E-04    5.7976127421E-24
  193.000000    1.6573260219E-04    6.6844592857E-24
  194.000000    1.5888204367E-04    6.4081571043E-24
  195.000000    1.4060513811E-04    5.6709983950E-24
