# Absorption coefficients
# Pure O3
# Wavenumber range: 0-7500 cm-1, T: 296 K, P: 1 atm, step: 1 cm-1, Profile: Voigt, Wing: 50 HW, Scut: 1e-28 cm/mol
# KNa, Ka and thier units definition in Eqs(2)-(3) of  https://spectra.iao.ru/home.sim-theory.sp-functions.
# WN,cm-1           KNa,cm-1       Ka,cm**2/molecule (FORMAT F12.6,3X,E17.10,3X,E17.10)

    0.000000    1.3894931860E-05    5.6042145641E-25
    1.000000    9.2847467500E-05    3.7447979943E-24
    2.000000    2.8021705117E-04    1.1301937247E-23
    3.000000    4.2822640802E-04    1.7271568488E-23
    4.000000    1.5966096220E-03    6.4395730666E-23
    5.000000    1.5966963014E-03    6.4399226690E-23
    6.000000    2.1972985453E-03    8.8623194654E-23
    7.000000    4.4164614145E-03    1.7812823863E-22
    8.000000    1.9777209501E-02    7.9767016233E-22
    9.000000    9.5897999526E-03    3.8678344811E-22
   10.000000    1.2901270730E-02    5.2034432447E-22
   11.000000    1.3926375314E-02    5.6168965882E-22
   12.000000    4.1911886004E-02    1.6904235610E-21
   13.000000    1.7293426075E-02    6.9749223134E-22
   14.000000    2.1101332437E-02    8.5107574299E-22
   15.000000    3.2724676043E-02    1.3198776931E-21
   16.000000    7.3044576918E-02    2.9460920422E-21
   17.000000    4.1627819763E-02    1.6789663752E-21
   18.000000    3.3836855243E-02    1.3647349902E-21
   19.000000    7.6002309203E-02    3.0653856559E-21
   20.000000    2.6634810554E-02    1.0742563888E-21
   21.000000    4.5260650415E-02    1.8254885939E-21
   22.000000    1.8368736046E-01    7.4086248938E-21
   23.000000    4.7196025882E-02    1.9035476984E-21
   24.000000    7.7182088765E-02    3.1129694647E-21
   25.000000    8.1446021707E-02    3.2849458035E-21
   26.000000    7.5625556328E-02    3.0501901590E-21
   27.000000    9.0184367742E-02    3.6373877342E-21
   28.000000    4.4158952915E-01    1.7810540531E-20
   29.000000    4.9205596389E-02    1.9845992963E-21
   30.000000    4.4500645120E-02    1.7948354551E-21
   31.000000    6.8606680562E-02    2.7670992724E-21
   32.000000    7.7230248899E-02    3.1149118976E-21
   33.000000    5.9488201553E-02    2.3993255159E-21
   34.000000    2.9128434824E-01    1.1748312285E-20
   35.000000    8.2319921220E-02    3.3201926146E-21
   36.000000    8.4281785418E-02    3.3993200837E-21
   37.000000    7.2948640839E-02    2.9422226718E-21
   38.000000    3.5759323885E-02    1.4422735264E-21
   39.000000    1.1968006466E-01    4.8270316701E-21
   40.000000    1.4799512746E-01    5.9690573302E-21
   41.000000    1.2558526797E-01    5.0652050324E-21
   42.000000    8.9225906370E-02    3.5987303069E-21
