# Absorption coefficients
# IAO model, high latitude, summer, H=0
# Wavenumber range: 0-7500 cm-1, T: 296 K, P: 1 atm, step: 1 cm-1, Profile: Voigt, Wing: 50 HW, Scut: 1e-28 cm/mol
# KNa, Ka and thier units definition in Eqs(2)-(3) of  https://spectra.iao.ru/home.sim-theory.sp-functions.
# WN,cm-1           KNa,cm-1       Ka,cm**2/molecule (FORMAT F12.6,3X,E17.10,3X,E17.10)

    0.000000    3.5926822522E-08    1.4490292147E-27
    1.000000    1.7481356693E-07    7.0507199867E-27
    2.000000    2.6713439747E-05    1.0774277240E-24
    3.000000    1.8372012426E-07    7.4099463491E-27
    4.000000    2.0826828112E-06    8.4000421598E-26
    5.000000    3.5085807357E-07    1.4151087214E-26
    6.000000    1.7707697767E-05    7.1420096709E-25
    7.000000    6.9336593774E-07    2.7965387133E-26
    8.000000    4.0953769097E-07    1.6517800270E-26
    9.000000    5.3082972943E-07    2.1409847351E-26
   10.000000    1.4936302269E-06    6.0242283700E-26
   11.000000    1.5610532512E-05    6.2961642806E-25
   12.000000    1.7065272553E-05    6.8829016183E-25
   13.000000    4.9979496239E-05    2.0158128413E-24
   14.000000    2.3128785940E-05    9.3284861217E-25
   15.000000    3.7315867253E-04    1.5050532729E-23
   16.000000    6.5901091851E-05    2.6579753140E-24
   17.000000    1.2528440212E-04    5.0530702713E-24
   18.000000    8.6571076560E-04    3.4916535970E-23
   19.000000    1.6397385430E-03    6.6135240652E-23
   20.000000    1.6731074201E-04    6.7481100773E-24
   21.000000    9.1961817718E-05    3.7090772620E-24
   22.000000    6.0332982214E-05    2.4333978823E-24
   23.000000    6.1203854625E-05    2.4685226018E-24
   24.000000    1.7336862241E-04    6.9924413338E-24
   25.000000    9.6920484021E-03    3.9090741400E-22
   26.000000    2.3294541188E-04    9.3953398480E-24
   27.000000    5.7998261002E-05    2.3392320471E-24
   28.000000    3.1683129067E-05    1.2778691910E-24
   29.000000    2.6356063923E-05    1.0630137577E-24
   30.000000    5.6911965833E-05    2.2954187254E-24
   31.000000    1.1203464062E-04    4.5186703393E-24
   32.000000    2.5667366260E-04    1.0352366551E-23
   33.000000    1.0385137721E-02    4.1886164434E-22
   34.000000    3.3192158472E-04    1.3387325666E-23
   35.000000    5.3417227313E-04    2.1544661485E-23
   36.000000    2.7682145896E-03    1.1164983518E-22
   37.000000    1.4404525023E-02    5.8097477366E-22
   38.000000    3.0730741109E-03    1.2394567215E-22
   39.000000    1.8719243018E-02    7.5499941567E-22
   40.000000    4.1203310120E-03    1.6618447142E-22
   41.000000    2.3760760211E-02    9.5833790171E-22
   42.000000    5.0654063947E-04    2.0430200433E-23
   43.000000    3.1165034445E-04    1.2569729862E-23
   44.000000    1.6536469392E-03    6.6696205161E-23
   45.000000    2.4030644426E-04    9.6922308676E-24
   46.000000    6.6027811798E-04    2.6630862839E-23
   47.000000    5.5360574608E-02    2.2328467791E-21
   48.000000    1.2007159525E-03    4.8428231936E-23
   49.000000    2.2093003834E-04    8.9107262346E-24
   50.000000    2.3071909206E-04    9.3055461443E-24
   51.000000    3.0279591009E-04    1.2212605764E-23
   52.000000    5.2503103401E-04    2.1175969750E-23
   53.000000    2.3162608251E-03    9.3421276053E-23
   54.000000    2.6175121444E-03    1.0557158415E-22
   55.000000    1.0645407316E-02    4.2935904488E-22
   56.000000    2.8515658566E-02    1.1501162485E-21
   57.000000    2.8265186759E-02    1.1400140201E-21
   58.000000    4.8796725748E-03    1.9681084001E-22
   59.000000    4.5190101466E-03    1.8226431575E-22
   60.000000    2.7652438437E-02    1.1153001669E-21
   61.000000    1.1432628942E-03    4.6110989438E-23
   62.000000    7.8541295279E-03    3.1677900642E-22
   63.000000    2.4072146367E-03    9.7089697608E-23
   64.000000    6.0894281663E-02    2.4560366586E-21
   65.000000    8.3034449745E-04    3.3490115481E-23
   66.000000    3.7563015854E-04    1.5150214671E-23
   67.000000    1.0956929067E-03    4.4192358821E-23
   68.000000    2.8109517866E-02    1.1337354584E-21
   69.000000    5.9762463573E-03    2.4103872701E-22
   70.000000    1.0218385165E-03    4.1213604743E-23
   71.000000    1.4969373892E-03    6.0375670802E-23
   72.000000    3.0741267832E-02    1.2398812937E-21
   73.000000    1.6221416185E-02    6.5425507481E-22
   74.000000    5.2802375851E-02    2.1296674697E-21
   75.000000    7.5430388832E-03    3.0423185081E-22
   76.000000    6.9143635615E-03    2.7887561712E-22
   77.000000    1.8411738086E-03    7.4259688190E-23
   78.000000    8.8945656291E-03    3.5874270376E-22
   79.000000    2.8199408736E-02    1.1373610085E-21
   80.000000    2.5314202785E-02    1.0209925846E-21
   81.000000    9.3823830933E-03    3.7841774618E-22
   82.000000    4.3008690987E-02    1.7346607730E-21
   83.000000    2.5555904248E-03    1.0307410805E-22
   84.000000    9.4924440112E-04    3.8285681076E-23
   85.000000    1.2425611630E-03    5.0115966285E-23
   86.000000    2.3730583105E-03    9.5712077463E-23
   87.000000    5.9908189833E-03    2.4162648177E-22
   88.000000    3.7173526656E-01    1.4993122786E-20
   89.000000    1.9571193547E-02    7.8936096282E-22
   90.000000    5.0235100789E-03    2.0261220876E-22
   91.000000    3.5440148999E-03    1.4294003107E-22
   92.000000    2.0692710112E-02    8.3459486199E-22
   93.000000    2.5791213721E-02    1.0402317695E-21
   94.000000    3.1390418153E-03    1.2660633414E-22
   95.000000    2.2747901607E-03    9.1748648192E-23
   96.000000    7.0731386753E-02    2.8527946144E-21
   97.000000    3.1390633506E-03    1.2660720272E-22
   98.000000    4.8812481162E-03    1.9687438600E-22
   99.000000    2.4913661048E-01    1.0048376163E-20
  100.000000    3.5774832987E-02    1.4428990518E-21
  101.000000    2.3643090653E-02    9.5359195936E-22
  102.000000    6.5327154601E-03    2.6348268199E-22
  103.000000    2.7644940784E-03    1.1149977656E-22
  104.000000    1.1594829916E-02    4.6765191320E-22
  105.000000    1.7488894041E-02    7.0537600098E-22
  106.000000    2.1814716572E-02    8.7984851998E-22
  107.000000    1.2506831418E-02    5.0443548402E-22
  108.000000    8.3722112720E-03    3.3767469188E-22
  109.000000    1.1518877320E-03    4.6458853263E-23
  110.000000    2.2642938916E-03    9.1325304308E-23
  111.000000    8.9753319107E-02    3.6200023374E-21
  112.000000    2.7869488282E-03    1.1240543941E-22
  113.000000    6.2606538870E-04    2.5250967797E-23
  114.000000    3.1843628589E-04    1.2843425856E-23
