# Absorption coefficients
# IAO model, high latitude, winter, H=0
# Wavenumber range: 0-7500 cm-1, T: 296 K, P: 1 atm, step: 1 cm-1, Profile: Voigt, Wing: 50 HW, Scut: 1e-28 cm/mol
# KNa, Ka and thier units definition in Eqs(2)-(3) of  https://spectra.iao.ru/home.sim-theory.sp-functions.
# WN,cm-1           KNa,cm-1       Ka,cm**2/molecule (FORMAT F12.6,3X,E17.10,3X,E17.10)

    0.000000    3.2691401540E-08    1.3185356393E-27
    1.000000    1.3649270480E-07    5.5051324600E-27
    2.000000    2.6847772424E-05    1.0828457365E-24
    3.000000    1.4526265525E-07    5.8588490853E-27
    4.000000    2.0041267810E-06    8.0832037232E-26
    5.000000    4.1981518401E-08    1.6932320304E-27
    6.000000    1.7784910439E-06    7.1731517008E-26
    7.000000    6.7659316288E-08    2.7288894221E-27
    8.000000    3.6240367771E-08    1.4616753714E-27
    9.000000    5.0036660751E-08    2.0181184459E-27
   10.000000    1.4489337563E-07    5.8439550055E-27
   11.000000    1.5521984032E-06    6.2604502024E-26
   12.000000    1.0087562471E-06    4.0685960238E-26
   13.000000    4.9309797542E-06    1.9888020202E-25
   14.000000    2.9214726509E-06    1.1783116135E-25
   15.000000    3.7820028995E-05    1.5253875258E-24
   16.000000    6.6337494736E-06    2.6755766627E-25
   17.000000    1.2394596571E-05    4.9990873882E-25
   18.000000    8.5530680515E-05    3.4496915152E-24
   19.000000    1.6220921693E-04    6.5423513058E-24
   20.000000    1.6516502849E-05    6.6615674513E-25
   21.000000    9.0326501454E-06    3.6431203843E-25
   22.000000    6.0758590079E-06    2.4505638376E-25
   23.000000    6.0849333195E-06    2.4542237612E-25
   24.000000    1.7367058898E-05    7.0046204898E-25
   25.000000    9.7841925423E-04    3.9462384484E-23
   26.000000    2.3857867822E-05    9.6225452319E-25
   27.000000    5.7921982692E-06    2.3361555296E-25
   28.000000    3.4516780338E-06    1.3921582706E-25
   29.000000    2.6502065141E-06    1.0689023951E-25
