# Absorption coefficients
# IAO model, mean latitude, summer, H=0
# Wavenumber range: 0-7500 cm-1, T: 296 K, P: 1 atm, step: 1 cm-1, Profile: Voigt, Wing: 50 HW, Scut: 1e-28 cm/mol
# KNa, Ka and thier units definition in Eqs(2)-(3) of  https://spectra.iao.ru/home.sim-theory.sp-functions.
# WN,cm-1           KNa,cm-1       Ka,cm**2/molecule (FORMAT F12.6,3X,E17.10,3X,E17.10)

    0.000000    6.8484230788E-08    2.7621605306E-27
    1.000000    2.3843234027E-07    9.6166430130E-27
    2.000000    2.6753522939E-05    1.0790443912E-24
    3.000000    2.4872867764E-07    1.0031923091E-26
    4.000000    2.2459688756E-06    9.0586205171E-26
    5.000000    8.6005641735E-07    3.4688480294E-26
    6.000000    4.2548502396E-05    1.7161000803E-24
    7.000000    1.7253803357E-06    6.9589413632E-26
    8.000000    1.0190306953E-06    4.1100357464E-26
    9.000000    1.3301556704E-06    5.3648897710E-26
   10.000000    3.7262283630E-06    1.5028920956E-25
   11.000000    3.8057492068E-05    1.5349650755E-24
   12.000000    4.2440815537E-05    1.7117567681E-24
   13.000000    1.2400509104E-04    5.0014720779E-24
   14.000000    5.6165833517E-05    2.2653251227E-24
   15.000000    8.8528750532E-04    3.5706120625E-23
   16.000000    1.6217360871E-04    6.5409151267E-24
   17.000000    3.0878322597E-04    1.2454090956E-23
   18.000000    2.1316645986E-03    8.5975994051E-23
   19.000000    4.0299424849E-03    1.6253884937E-22
   20.000000    4.1276162486E-04    1.6647830539E-23
   21.000000    2.2872375819E-04    9.2250687496E-24
   22.000000    1.4737281750E-04    5.9439578296E-24
   23.000000    1.5088562405E-04    6.0856391405E-24
   24.000000    4.2699156597E-04    1.7221763855E-23
   25.000000    2.3087194800E-02    9.3117112518E-22
   26.000000    5.7264753458E-04    2.3096476368E-23
   27.000000    1.4304378839E-04    5.7693559800E-24
   28.000000    7.7749416446E-05    3.1358513765E-24
   29.000000    6.5378538209E-05    2.6368992644E-24
   30.000000    1.4215607845E-04    5.7335521558E-24
   31.000000    2.8071826097E-04    1.1322152439E-23
   32.000000    6.4027879726E-04    2.5824234310E-23
   33.000000    2.4377527348E-02    9.8321384501E-22
   34.000000    8.2293683998E-04    3.3191343940E-23
   35.000000    1.3243425256E-03    5.3414437328E-23
   36.000000    6.8521165374E-03    2.7636502057E-22
   37.000000    3.5123513775E-02    1.4166295267E-21
   38.000000    7.6076887675E-03    3.0683936143E-22
   39.000000    4.5814754870E-02    1.8478371760E-21
   40.000000    1.0176857505E-02    4.1046112080E-22
   41.000000    5.5368530933E-02    2.2331676800E-21
   42.000000    1.3318937101E-03    5.3718997710E-23
   43.000000    7.7102658416E-04    3.1097658166E-23
   44.000000    4.0648180836E-03    1.6394547979E-22
   45.000000    5.9349020997E-04    2.3937119749E-23
   46.000000    1.6296889445E-03    6.5729912242E-23
   47.000000    1.3062663211E-01    5.2685373453E-21
   48.000000    2.9209238784E-03    1.1780902782E-22
   49.000000    5.3799108708E-04    2.1698684930E-23
   50.000000    5.7115589765E-04    2.3036314480E-23
   51.000000    8.8578727342E-04    3.5726277670E-23
   52.000000    1.3772294553E-03    5.5547515088E-23
   53.000000    5.7480570418E-03    2.3183521383E-22
   54.000000    6.4908234732E-03    2.6179306101E-22
   55.000000    2.6337779541E-02    1.0622762974E-21
   56.000000    7.0150030022E-02    2.8293468718E-21
   57.000000    6.9602368374E-02    2.8072581461E-21
