# Absorption coefficients
# IAO model, mean latitude, winter, H=0
# Wavenumber range: 0-7500 cm-1, T: 296 K, P: 1 atm, step: 1 cm-1, Profile: Voigt, Wing: 50 HW, Scut: 1e-28 cm/mol
# KNa, Ka and thier units definition in Eqs(2)-(3) of  https://spectra.iao.ru/home.sim-theory.sp-functions.
# WN,cm-1           KNa,cm-1       Ka,cm**2/molecule (FORMAT F12.6,3X,E17.10,3X,E17.10)

    0.000000    3.5552536577E-08    1.4339332160E-27
    1.000000    1.7053986656E-07    6.8783497003E-27
    2.000000    2.6710903731E-05    1.0773254394E-24
    3.000000    1.7941627790E-07    7.2363601908E-27
    4.000000    2.0728848737E-06    8.3605243380E-26
    5.000000    3.1695177362E-07    1.2783551325E-26
    6.000000    1.5990309765E-05    6.4493390665E-25
    7.000000    6.2459860934E-07    2.5191808484E-26
    8.000000    3.6893108453E-07    1.4880022284E-26
    9.000000    4.7807327890E-07    1.9282032178E-26
   10.000000    1.3342469900E-06    5.3813912071E-26
   11.000000    1.4082443781E-05    5.6798433652E-25
   12.000000    1.5374974211E-05    6.2011570307E-25
   13.000000    4.5032259333E-05    1.8162769429E-24
   14.000000    2.0913870781E-05    8.4351489019E-25
   15.000000    3.3728535253E-04    1.3603661421E-23
   16.000000    5.9422037212E-05    2.3966569230E-24
   17.000000    1.1293843907E-04    4.5551230584E-24
   18.000000    7.8043557279E-04    3.1477148988E-23
   19.000000    1.4784089818E-03    5.9628368321E-23
   20.000000    1.5081229522E-04    6.0826815837E-24
   21.000000    8.2842619739E-05    3.3412745075E-24
   22.000000    5.4427498553E-05    2.1952132127E-24
   23.000000    5.5173556036E-05    2.2253037971E-24
   24.000000    1.5630679355E-04    6.3042900657E-24
   25.000000    8.7575254999E-03    3.5321549214E-22
   26.000000    2.1008155147E-04    8.4731764235E-24
   27.000000    5.2284561503E-05    2.1087825691E-24
   28.000000    2.8591332620E-05    1.1531683947E-24
   29.000000    2.3751707825E-05    9.5797279366E-25
   30.000000    5.1256660972E-05    2.0673244664E-24
   31.000000    1.0087285395E-04    4.0684842711E-24
   32.000000    2.3117651918E-04    9.3239954592E-24
   33.000000    9.3935887549E-03    3.7886970184E-22
   34.000000    2.9908268975E-04    1.2062841205E-23
   35.000000    4.8130750004E-04    1.9412477360E-23
   36.000000    2.4946160603E-03    1.0061484142E-22
   37.000000    1.2994316392E-02    5.2409711618E-22
   38.000000    2.7693065612E-03    1.1169387744E-22
   39.000000    1.6882063593E-02    6.8090083214E-22
   40.000000    3.7135959345E-03    1.4977970839E-22
   41.000000    2.1505081779E-02    8.6736008296E-22
   42.000000    4.5644954587E-04    1.8409886558E-23
   43.000000    2.8086034421E-04    1.1327883054E-23
   44.000000    1.4931248601E-03    6.0221900843E-23
   45.000000    2.1659112612E-04    8.7357257717E-24
   46.000000    5.9514464390E-04    2.4003847696E-23
   47.000000    5.0056357550E-02    2.0189128729E-21
   48.000000    1.0833808253E-03    4.3695778150E-23
   49.000000    1.9965516918E-04    8.0526512702E-24
   50.000000    2.0791468096E-04    8.3857804763E-24
   51.000000    2.7283588122E-04    1.1004234023E-23
   52.000000    4.7300268244E-04    1.9077520843E-23
   53.000000    2.0872113807E-03    8.4183071468E-23
   54.000000    2.3585052021E-03    9.5125109907E-23
   55.000000    9.5934712142E-03    3.8693152036E-22
   56.000000    2.5708040413E-02    1.0368771574E-21
   57.000000    2.5480212168E-02    1.0276882072E-21
   58.000000    4.3967147777E-03    1.7733180155E-22
   59.000000    4.0740317882E-03    1.6431709426E-22
   60.000000    2.4993960732E-02    1.0080763271E-21
   61.000000    1.0302719247E-03    4.1553747680E-23
   62.000000    7.0811168249E-03    2.8560124252E-22
   63.000000    2.1697745142E-03    8.7513073513E-23
   64.000000    5.5109734151E-02    2.2227296820E-21
   65.000000    7.4848342783E-04    3.0188429634E-23
   66.000000    3.3854328640E-04    1.3654397412E-23
   67.000000    9.8777172127E-04    3.9839595632E-23
   68.000000    2.5408661302E-02    1.0248023607E-21
   69.000000    5.3894554019E-03    2.1737180693E-22
   70.000000    9.2101239810E-04    3.7147005449E-23
   71.000000    1.3490553075E-03    5.4411172923E-23
   72.000000    2.7732510741E-02    1.1185297068E-21
   73.000000    1.4624180306E-02    5.8983408545E-22
   74.000000    4.7667088558E-02    1.9225469734E-21
   75.000000    6.7974381719E-03    2.7415968920E-22
   76.000000    6.2305877924E-03    2.5129702830E-22
   77.000000    1.6590600295E-03    6.6914530233E-23
   78.000000    8.0197253688E-03    3.2345794974E-22
   79.000000    2.5469590564E-02    1.0272598082E-21
   80.000000    2.2826269085E-02    9.2064726146E-22
   81.000000    8.4855125577E-03    3.4224444955E-22
   82.000000    3.8815173938E-02    1.5655245040E-21
   83.000000    2.3037469345E-03    9.2916555853E-23
   84.000000    8.5543069910E-04    3.4501912142E-23
   85.000000    1.1204376615E-03    4.5190383976E-23
   86.000000    2.1383918148E-03    8.6247321493E-23
   87.000000    5.3967695011E-03    2.1766680501E-22
   88.000000    3.3591088494E-01    1.3548225300E-20
   89.000000    1.7648940309E-02    7.1183111454E-22
   90.000000    4.5251701103E-03    1.8251276431E-22
   91.000000    3.1900100623E-03    1.2866202606E-22
   92.000000    1.8626667389E-02    7.5126558169E-22
   93.000000    2.3216935505E-02    9.3640393061E-22
   94.000000    2.8250318865E-03    1.1394143564E-22
   95.000000    2.0491501385E-03    8.2647955138E-23
   96.000000    6.3884901923E-02    2.5766567364E-21
