# Absorption coefficients
# IAO model, tropics, H=0
# Wavenumber range: 0-7500 cm-1, T: 296 K, P: 1 atm, step: 1 cm-1, Profile: Voigt, Wing: 50 HW, Scut: 1e-28 cm/mol
# KNa, Ka and thier units definition in Eqs(2)-(3) of  https://spectra.iao.ru/home.sim-theory.sp-functions.
# WN,cm-1           KNa,cm-1       Ka,cm**2/molecule (FORMAT F12.6,3X,E17.10,3X,E17.10)

    0.000000    8.9331418068E-08    3.6029858888E-27
    1.000000    2.9886412212E-07    1.2054025761E-26
    2.000000    2.6792221369E-05    1.0806052071E-24
    3.000000    3.1113217482E-07    1.2548830632E-26
    4.000000    2.3940266837E-06    9.6557790587E-26
    5.000000    1.3564833760E-06    5.4710767696E-26
    6.000000    6.4999291806E-05    2.6216031965E-24
    7.000000    2.7259326670E-06    1.0994448700E-25
    8.000000    1.6075175629E-06    6.4835678425E-26
    9.000000    2.1033213445E-06    8.4832831355E-26
   10.000000    5.8810979103E-06    2.3720112408E-25
   11.000000    5.8903138741E-05    2.3757282967E-24
   12.000000    6.6908455228E-05    2.6986050959E-24
   13.000000    1.9492226376E-04    7.8617599599E-24
   14.000000    8.7698106507E-05    3.5371098663E-24
   15.000000    1.3379666137E-03    5.3963934896E-23
   16.000000    2.5336992294E-04    1.0219117492E-23
   17.000000    4.8290814452E-04    1.9477035828E-23
   18.000000    3.3308758555E-03    1.3434353741E-22
   19.000000    6.2850239385E-03    2.5349259030E-22
   20.000000    6.4591901940E-04    2.6051720241E-23
   21.000000    3.6026712144E-04    1.4530580425E-23
   22.000000    2.2883741178E-04    9.2296527168E-24
   23.000000    2.3606590481E-04    9.5211980539E-24
   24.000000    6.6834431131E-04    2.6956194971E-23
   25.000000    3.5016438172E-02    1.4123108682E-21
   26.000000    8.9478126176E-04    3.6089030370E-23
   27.000000    2.2390619255E-04    9.0307628560E-24
   28.000000    1.2165629113E-04    4.9067384098E-24
   29.000000    1.0289153092E-04    4.1499031581E-24
   30.000000    3.0495493967E-04    1.2299685465E-23
