# Absorption coefficients
# Pure N2O
# Wavenumber range: 0-7500 cm-1, T: 296 K, P: 1 atm, step: 1 cm-1, Profile: Voigt, Wing: 50 HW, Scut: 1e-28 cm/mol
# KNa, Ka and thier units definition in Eqs(2)-(3) of  https://spectra.iao.ru/home.sim-theory.sp-functions.
# WN,cm-1           KNa,cm-1       Ka,cm**2/molecule (FORMAT F12.6,3X,E17.10,3X,E17.10)

    0.000000    2.5695248691E-06    1.0363612315E-25
    1.000000    7.7525129527E-06    3.1268052579E-25
    2.000000    2.0697153127E-05    8.3477406120E-25
    3.000000    5.7045621185E-05    2.3008094195E-24
    4.000000    2.1258294309E-04    8.5740645419E-24
    5.000000    1.1360039584E-03    4.5818216260E-23
    6.000000    8.3660128602E-04    3.3742469259E-23
    7.000000    5.3358064104E-04    2.1520799309E-23
    8.000000    6.6439732090E-04    2.6797001811E-23
    9.000000    1.4699105183E-03    5.9285601523E-23
   10.000000    6.3559922710E-03    2.5635494159E-22
   11.000000    5.0877691294E-03    2.0520395595E-22
   12.000000    2.1184563983E-03    8.5443270398E-23
   13.000000    1.9069247861E-03    7.6911608970E-23
   14.000000    3.2396523218E-03    1.3066423720E-22
   15.000000    1.2085290325E-02    4.8743355300E-22
   16.000000    1.3490224523E-02    5.4409847783E-22
   17.000000    4.3070472606E-03    1.7371525985E-22
   18.000000    3.0275492379E-03    1.2210952672E-22
   19.000000    4.3184602738E-03    1.7417557858E-22
   20.000000    1.3686035126E-02    5.5199606699E-22
   21.000000    2.2404311984E-02    9.0362855167E-22
   22.000000    5.7231389780E-03    2.3083019864E-22
   23.000000    3.3922676596E-03    1.3681964053E-22
   24.000000    4.0410086769E-03    1.6298517984E-22
   25.000000    1.1342587504E-02    4.5747827139E-22
   26.000000    2.5720617605E-02    1.0373844308E-21
   27.000000    5.6696707840E-03    2.2867367686E-22
   28.000000    2.8121906875E-03    1.1342351418E-22
   29.000000    3.0163091199E-03    1.2165618133E-22
   30.000000    7.5194764208E-03    3.0328151082E-22
   31.000000    2.1290379043E-02    8.5870052126E-22
   32.000000    4.2910775210E-03    1.7307115559E-22
   33.000000    1.8851791911E-03    7.6034548316E-23
   34.000000    1.8637542860E-03    7.5170421983E-23
   35.000000    4.1272900503E-03    1.6646514890E-22
   36.000000    1.3590885920E-02    5.4815843343E-22
   37.000000    2.5665637146E-03    1.0351669151E-22
   38.000000    1.0427137339E-03    4.2055560635E-23
   39.000000    9.0211240669E-04    3.6384715945E-23
   40.000000    1.9480407080E-03    7.8569929076E-23
   41.000000    6.7713361325E-03    2.7310692096E-22
   42.000000    1.2031254968E-03    4.8525415594E-23
   43.000000    4.3561150808E-04    1.7569430225E-23
   44.000000    3.6885120962E-04    1.4876800705E-23
   45.000000    7.8877746508E-04    3.1813600831E-23
   46.000000    4.2670404511E-05    1.7210167335E-24
   47.000000    1.1402105778E-05    4.5987880981E-25
   48.000000    4.9729339072E-06    2.0057233033E-25
   49.000000    1.0881335611E-06    4.3887469275E-26
   50.000000    1.8112893049E-07    7.3054362587E-27
   51.000000    1.5903355258E-07    6.4142678821E-27
   52.000000    8.8308234476E-07    3.5617180334E-26
   53.000000    1.7245824080E-07    6.9557230975E-27
   54.000000    5.5916764163E-08    2.2552794591E-27
   55.000000    9.2386985821E-08    3.7262254805E-27
   56.000000    2.5568290121E-07    1.0312406374E-26
   57.000000    3.1472553981E-08    1.2693761090E-27
   58.000000    1.8585466766E-08    7.4960384536E-28
   59.000000    7.4048053106E-08    2.9865650429E-27
   60.000000    2.2670165447E-08    9.1435116523E-28
   61.000000    6.0106103724E-09    2.4242472383E-28
   62.000000    7.8467057947E-09    3.1647958650E-28
   63.000000    3.3547959613E-08    1.3530830216E-27
   64.000000    2.9463797968E-09    1.1883573619E-28
   65.000000    1.5802601082E-09    6.3736309056E-29
   66.000000    5.8160551795E-09    2.3457776886E-28
   67.000000    1.3638655328E-10    5.5008510725E-30
   68.000000    3.8111123896E-11    1.5371281971E-30
   69.000000    7.4586924756E-12    3.0082992433E-31
   70.000000    0.0000000000E+00    0.0000000000E+00
   71.000000    0.0000000000E+00    0.0000000000E+00
   72.000000    0.0000000000E+00    0.0000000000E+00
   73.000000    0.0000000000E+00    0.0000000000E+00
   74.000000    0.0000000000E+00    0.0000000000E+00
   75.000000    0.0000000000E+00    0.0000000000E+00
   76.000000    0.0000000000E+00    0.0000000000E+00
   77.000000    0.0000000000E+00    0.0000000000E+00
   78.000000    0.0000000000E+00    0.0000000000E+00
   79.000000    0.0000000000E+00    0.0000000000E+00
   80.000000    0.0000000000E+00    0.0000000000E+00
   81.000000    0.0000000000E+00    0.0000000000E+00
   82.000000    0.0000000000E+00    0.0000000000E+00
   83.000000    0.0000000000E+00    0.0000000000E+00
   84.000000    0.0000000000E+00    0.0000000000E+00
   85.000000    0.0000000000E+00    0.0000000000E+00
   86.000000    0.0000000000E+00    0.0000000000E+00
