# Absorption Cross-sections (XS) & Absorbance
# [Non-airy] IAO model, mean latitude, winter, H=0
# Wavenumber range: 0-7500 cm-1, T: 296 K, P: 1 atm, step: 1 cm-1, Profile: Voigt, Wing: 50 HW, Scut: 1e-28 cm/mol
# XS in HITRAN-compatible units. Absorbance for path=1m in PNNL-compatible units. Definition in Eqs(7)-(9) of https://spectra.iao.ru/home.sim-theory.sp-functions.
# WN,cm-1      XS,cm**2/molecule   Absorbance,1/(ppm*m) (FORMAT F12.6,3X,E17.10,3X,E17.10)

    0.000000    1.5807889036E-25    4.5422973340E-06
    1.000000    1.8250689732E-25    5.2442207256E-06
    2.000000    1.3352374859E-24    3.8367208034E-05
    3.000000    2.9521446572E-25    8.4828017043E-06
    4.000000    4.1691716440E-25    1.1979852085E-05
    5.000000    4.1843826511E-25    1.2023559956E-05
    6.000000    6.9544391608E-25    1.9983142839E-05
    7.000000    5.7862071305E-25    1.6626301692E-05
    8.000000    6.6824924709E-25    1.9201721156E-05
    9.000000    8.1346043994E-25    2.3374273308E-05
   10.000000    1.3165735723E-24    3.7830912235E-05
   11.000000    1.9564478402E-24    5.6217296239E-05
   12.000000    2.9899665206E-24    8.5914804462E-05
   13.000000    4.3733837697E-24    1.2566642764E-04
   14.000000    4.5387122234E-24    1.3041703661E-04
   15.000000    9.3092059938E-24    2.6749416996E-04
   16.000000    9.6203829673E-24    2.7643564427E-04
   17.000000    1.9443680545E-23    5.5870191206E-04
   18.000000    8.5978129918E-23    2.4705274019E-03
   19.000000    1.1779516103E-22    3.3847697481E-03
   20.000000    2.4569204483E-23    7.0598061363E-04
   21.000000    1.2611993765E-23    3.6239769600E-04
   22.000000    9.6794074051E-24    2.7813167431E-04
   23.000000    1.1579307881E-23    3.3272411767E-04
   24.000000    2.6003040869E-23    7.4718099893E-04
   25.000000    1.4155709044E-22    4.0675538208E-03
   26.000000    3.3603932465E-23    9.6558783083E-04
   27.000000    1.3656058126E-23    3.9239822772E-04
   28.000000    1.0814916744E-23    3.1075981985E-04
   29.000000    1.1762811487E-23    3.3799697819E-04
   30.000000    1.5590227190E-23    4.4797535735E-04
   31.000000    2.2816740071E-23    6.5562465269E-04
   32.000000    4.1591157329E-23    1.1950957058E-03
   33.000000    1.2432016100E-22    3.5722615118E-03
   34.000000    5.9343133814E-23    1.7051875674E-03
   35.000000    9.1278056367E-23    2.6228174497E-03
   36.000000    3.1676335578E-22    9.1019954856E-03
   37.000000    6.2026610497E-22    1.7822955794E-02
   38.000000    3.8410070899E-22    1.1036891911E-02
   39.000000    7.0675530458E-22    2.0308168462E-02
   40.000000    3.2871485500E-22    9.4454142868E-03
   41.000000    3.1200184008E-22    8.9651763312E-03
   42.000000    8.9179534836E-23    2.5625177555E-03
   43.000000    5.4121531712E-23    1.5551481203E-03
   44.000000    6.5547309996E-23    1.8834606617E-03
   45.000000    5.3988498178E-23    1.5513254855E-03
   46.000000    1.1114533240E-22    3.1936911113E-03
   47.000000    6.3319725107E-22    1.8194524131E-02
   48.000000    1.3406949467E-22    3.8524024733E-03
   49.000000    5.9682997013E-23    1.7149533223E-03
   50.000000    5.2657452582E-23    1.5130787287E-03
   51.000000    6.5099637475E-23    1.8705970738E-03
   52.000000    1.0221012421E-22    2.9369435328E-03
   53.000000    2.6323380548E-22    7.5638575781E-03
   54.000000    3.7342955416E-22    1.0730263000E-02
   55.000000    1.0641001327E-21    3.0576246992E-02
   56.000000    1.7240084185E-21    4.9538295879E-02
   57.000000    1.4705794887E-21    4.2256175225E-02
   58.000000    6.5692719407E-22    1.8876389095E-02
   59.000000    3.7099666750E-22    1.0660355534E-02
   60.000000    4.7169047475E-22    1.3553728654E-02
   61.000000    1.9533173935E-22    5.6127344824E-03
   62.000000    5.4794201899E-22    1.5744768744E-02
   63.000000    3.2161603757E-22    9.2414342399E-03
   64.000000    6.0110316077E-22    1.7272320664E-02
   65.000000    1.4793598854E-22    4.2508474395E-03
   66.000000    9.2290983227E-23    2.6519232650E-03
   67.000000    1.3746753261E-22    3.9500429529E-03
   68.000000    4.0063520616E-22    1.1512000272E-02
   69.000000    2.9371548530E-22    8.4397294463E-03
   70.000000    1.7329161932E-22    4.9794255175E-03
   71.000000    2.5152747419E-22    7.2274835228E-03
   72.000000    1.1339940441E-21    3.2584604505E-02
   73.000000    1.1341503971E-21    3.2589097210E-02
   74.000000    1.2566186158E-21    3.6108144328E-02
   75.000000    8.5919180209E-22    2.4688335191E-02
   76.000000    7.4247560584E-22    2.1334568817E-02
   77.000000    2.9501244660E-22    8.4769968121E-03
   78.000000    5.4421250457E-22    1.5637603496E-02
   79.000000    8.3895269887E-22    2.4106777310E-02
   80.000000    1.1639606931E-21    3.3445677287E-02
   81.000000    4.4666172972E-22    1.2834543432E-02
   82.000000    1.2744527946E-21    3.6620598220E-02
   83.000000    3.7265878089E-22    1.0708115315E-02
   84.000000    2.0004001874E-22    5.7480239247E-03
   85.000000    2.3140319003E-22    6.6492248947E-03
   86.000000    3.8476839546E-22    1.1056077462E-02
   87.000000    9.8076949705E-22    2.8181793669E-02
   88.000000    4.6548483832E-21    1.3375413600E-01
   89.000000    1.5332964417E-21    4.4058307363E-02
   90.000000    7.7780822899E-22    2.2349829485E-02
   91.000000    7.2634416476E-22    2.0871042019E-02
   92.000000    1.7733558138E-21    5.0956262196E-02
   93.000000    1.8665349081E-21    5.3633704774E-02
   94.000000    6.8697734187E-22    1.9739861162E-02
   95.000000    4.9466788800E-22    1.4213970149E-02
   96.000000    1.3420783409E-21    3.8563775692E-02
   97.000000    5.6428363323E-22    1.6214334734E-02
   98.000000    7.6855275190E-22    2.2083879182E-02
   99.000000    3.2326441418E-21    9.2887993033E-02
  100.000000    3.0090451916E-21    8.6463018054E-02
  101.000000    2.8824886815E-21    8.2826496460E-02
  102.000000    9.3099081075E-22    2.6751434476E-02
  103.000000    4.9853651588E-22    1.4325132734E-02
  104.000000    1.1966481840E-21    3.4384931748E-02
  105.000000    1.7587712851E-21    5.0537184951E-02
  106.000000    1.5604272528E-21    4.4837894130E-02
  107.000000    6.5399333056E-22    1.8792086375E-02
  108.000000    6.5436013831E-22    1.8802626365E-02
  109.000000    2.4165312854E-22    6.9437504211E-03
  110.000000    3.4632021217E-22    9.9512931347E-03
  111.000000    1.7549943427E-21    5.0428656892E-02
  112.000000    4.3284227108E-22    1.2437449994E-02
  113.000000    1.6460038763E-22    4.7296884497E-03
  114.000000    1.1657351602E-22    3.3496665482E-03
  115.000000    1.1777599703E-22    3.3842190824E-03
  116.000000    1.8531061441E-22    5.3247837699E-03
  117.000000    3.4476111300E-22    9.9064934022E-03
  118.000000    9.0220334136E-22    2.5924244677E-02
  119.000000    5.4216916682E-22    1.5578889473E-02
  120.000000    2.4032486122E-21    6.9055834961E-02
  121.000000    1.6633469525E-21    4.7795226866E-02
  122.000000    5.6763863267E-21    1.6310738530E-01
  123.000000    1.3290960614E-21    3.8190738068E-02
  124.000000    5.3896424063E-22    1.5486797938E-02
  125.000000    5.1576555666E-22    1.4820198368E-02
  126.000000    1.2491841933E-21    3.5894520879E-02
  127.000000    5.3138756311E-21    1.5269086882E-01
  128.000000    1.1458254165E-21    3.2924571538E-02
  129.000000    5.4504599249E-22    1.5661553246E-02
  130.000000    3.8920935624E-22    1.1183685672E-02
  131.000000    7.3929240495E-22    2.1243101544E-02
  132.000000    2.5265026028E-21    7.2597460739E-02
  133.000000    2.9451412628E-21    8.4626778916E-02
  134.000000    7.6200673079E-22    2.1895783389E-02
  135.000000    3.6682414323E-22    1.0540460677E-02
  136.000000    3.2622834632E-22    9.3739660263E-03
  137.000000    3.7986169292E-22    1.0915086455E-02
  138.000000    9.6135398897E-22    2.7623901275E-02
  139.000000    6.3309064479E-21    1.8191460867E-01
  140.000000    2.6805973763E-21    7.7025276985E-02
  141.000000    1.6604815126E-21    4.7712890255E-02
  142.000000    5.2097733039E-22    1.4969955403E-02
  143.000000    2.5231763000E-22    7.2501881524E-03
  144.000000    2.0219251017E-22    5.8098744100E-03
  145.000000    2.2975264294E-22    6.6017974639E-03
  146.000000    2.6057726858E-22    7.4875236638E-03
  147.000000    4.1085820516E-22    1.1805751708E-02
  148.000000    9.4823722847E-22    2.7246999425E-02
  149.000000    4.2449939417E-21    1.2197722681E-01
  150.000000    5.1607005959E-21    1.4828948068E-01
  151.000000    6.3928583269E-21    1.8369475689E-01
  152.000000    1.9014522143E-21    5.4637031572E-02
  153.000000    2.4034760204E-21    6.9062369394E-02
  154.000000    1.8467563866E-21    5.3065381417E-02
  155.000000    5.7362471716E-22    1.6482744897E-02
  156.000000    6.5754555234E-22    1.8894157230E-02
  157.000000    1.2417697072E-21    3.5681470292E-02
  158.000000    5.1655624298E-21    1.4842918241E-01
  159.000000    8.5167634411E-22    2.4472383240E-02
  160.000000    3.7673188150E-22    1.0825153295E-02
  161.000000    1.9975568043E-22    5.7398536425E-03
  162.000000    1.8101719641E-22    5.2014151085E-03
  163.000000    1.4161233810E-22    4.0691413277E-03
  164.000000    1.5548431668E-22    4.4677438934E-03
  165.000000    2.2057361553E-22    6.3380438935E-03
  166.000000    5.8453463955E-22    1.6796234644E-02
  167.000000    9.4899473598E-22    2.7268765926E-02
  168.000000    5.8960456356E-22    1.6941915717E-02
  169.000000    1.2104755785E-21    3.4782253217E-02
  170.000000    4.1394145840E-21    1.1894347048E-01
  171.000000    2.9417615566E-21    8.4529665187E-02
  172.000000    1.0264176005E-21    2.9493463165E-02
  173.000000    1.3123531061E-21    3.7709639796E-02
  174.000000    9.5378330337E-22    2.7406362393E-02
  175.000000    7.1124785764E-22    2.0437259144E-02
  176.000000    4.1647869939E-21    1.1967253069E-01
  177.000000    1.6592923023E-21    4.7678719047E-02
  178.000000    1.5963706253E-21    4.5870704296E-02
  179.000000    6.1296518898E-22    1.7613168572E-02
  180.000000    3.2932022800E-22    9.4628092987E-03
  181.000000    1.1428258808E-21    3.2838381769E-02
  182.000000    6.5820058341E-22    1.8912979136E-02
  183.000000    2.4506166486E-22    7.0416925649E-03
  184.000000    1.8002974962E-22    5.1730414469E-03
  185.000000    1.3233055854E-22    3.8024352391E-03
  186.000000    1.6713687778E-22    4.8025728964E-03
  187.000000    3.5104599294E-22    1.0087085468E-02
  188.000000    1.3903831467E-21    3.9951783860E-02
  189.000000    5.6738286717E-22    1.6303389269E-02
  190.000000    2.0901410761E-22    6.0058887151E-03
  191.000000    1.5163132948E-22    4.3570307334E-03
  192.000000    1.8967749647E-22    5.4502633750E-03
  193.000000    6.2553157641E-22    1.7974255799E-02
  194.000000    1.4787457599E-21    4.2490827884E-02
  195.000000    6.8622435514E-22    1.9718224563E-02
  196.000000    5.4225639275E-22    1.5581395855E-02
  197.000000    3.6367748725E-22    1.0450043500E-02
  198.000000    4.0281202884E-22    1.1574549900E-02
  199.000000    3.1273129109E-22    8.9861366467E-03
  200.000000    5.0969584595E-22    1.4645789054E-02
  201.000000    1.1314528788E-21    3.2511585723E-02
  202.000000    5.4045477788E-21    1.5529627587E-01
  203.000000    1.3785788039E-20    3.9612593503E-01
  204.000000    1.7984381540E-21    5.1676987442E-02
  205.000000    6.8589528143E-22    1.9708768837E-02
  206.000000    4.8315013000E-22    1.3883014629E-02
  207.000000    6.8595829243E-22    1.9710579418E-02
  208.000000    3.0432490005E-21    8.7445842957E-02
  209.000000    2.4164544511E-21    6.9435296424E-02
  210.000000    5.4890567892E-22    1.5772458905E-02
  211.000000    3.6033017373E-22    1.0353860555E-02
  212.000000    5.0924559816E-22    1.4632851468E-02
  213.000000    7.6685498511E-22    2.2035094922E-02
  214.000000    1.0441843432E-21    3.0003979326E-02
  215.000000    5.3333507388E-22    1.5325047377E-02
  216.000000    1.6256851371E-22    4.6713038324E-03
  217.000000    1.3789232397E-22    3.9622490650E-03
  218.000000    1.0657813685E-22    3.0624556244E-03
  219.000000    1.2670731656E-22    3.6408549230E-03
  220.000000    2.1247537607E-22    6.1053460839E-03
  221.000000    7.1001286524E-22    2.0401772415E-02
  222.000000    1.4791983040E-21    4.2503831456E-02
  223.000000    6.2392062346E-22    1.7927966081E-02
  224.000000    1.0742102202E-21    3.0866753987E-02
  225.000000    5.8223786914E-22    1.6730238393E-02
  226.000000    2.5641170011E-21    7.3678286778E-02
  227.000000    2.4433496107E-21    7.0208111893E-02
  228.000000    7.7612415365E-21    2.2301438641E-01
  229.000000    1.0160590481E-21    2.9195816688E-02
  230.000000    4.2787278686E-22    1.2294654995E-02
  231.000000    7.4371323278E-22    2.1370131247E-02
  232.000000    3.2780982717E-22    9.4194088824E-03
  233.000000    2.3137820190E-22    6.6485068765E-03
  234.000000    1.2033656860E-22    3.4577954934E-03
  235.000000    6.4390412428E-23    1.8502179388E-03
  236.000000    5.1719268208E-23    1.4861205918E-03
  237.000000    4.2290898147E-23    1.2152023174E-03
  238.000000    4.5427959505E-23    1.3053437994E-03
  239.000000    4.6399988814E-23    1.3332744492E-03
  240.000000    5.1403255320E-23    1.4770401605E-03
  241.000000    6.2456978095E-23    1.7946619212E-03
  242.000000    8.4654037587E-23    2.4324804428E-03
  243.000000    1.4197946004E-22    4.0796903453E-03
  244.000000    4.9342055807E-22    1.4178128910E-02
  245.000000    1.0428500255E-21    2.9965638548E-02
  246.000000    9.6374020465E-22    2.7692467679E-02
  247.000000    1.0199512790E-21    2.9307657491E-02
  248.000000    5.4651799279E-21    1.5703850248E-01
  249.000000    9.3042390180E-22    2.6735144704E-02
  250.000000    4.9106970413E-22    1.4110578602E-02
  251.000000    3.3909739313E-22    9.7437499795E-03
  252.000000    5.1743591563E-22    1.4868195080E-02
  253.000000    1.8018682045E-21    5.1775547783E-02
  254.000000    1.6132178464E-20    4.6354798582E-01
  255.000000    1.4277765292E-21    4.1026259150E-02
  256.000000    4.5265538185E-22    1.3006767250E-02
  257.000000    2.4861851866E-22    7.1438965183E-03
  258.000000    1.2526357345E-22    3.5993698741E-03
  259.000000    8.3364920961E-23    2.3954384887E-03
  260.000000    6.1897673242E-23    1.7785906486E-03
  261.000000    5.2476595882E-23    1.5078819254E-03
  262.000000    4.8932410281E-23    1.4060419848E-03
  263.000000    5.8888352968E-23    1.6921197262E-03
  264.000000    6.4570517550E-23    1.8553931461E-03
  265.000000    1.3988077359E-22    4.0193859122E-03
  266.000000    7.5485208247E-22    2.1690199076E-02
  267.000000    2.9450892504E-22    8.4625284374E-03
  268.000000    1.0054474332E-22    2.8890898618E-03
  269.000000    4.9115298305E-23    1.4112971570E-03
  270.000000    3.6668978004E-23    1.0536599836E-03
  271.000000    4.2904164167E-23    1.2328241302E-03
  272.000000    9.2231287434E-23    2.6502079440E-03
  273.000000    6.7741988160E-23    1.9465233562E-03
  274.000000    8.6843692309E-23    2.4953987919E-03
  275.000000    1.6892576088E-22    4.8539753252E-03
  276.000000    5.4009022727E-22    1.5519152455E-02
  277.000000    6.4244451120E-22    1.8460238326E-02
  278.000000    4.6525137431E-21    1.3368705159E-01
  279.000000    1.8922557000E-21    5.4372775526E-02
  280.000000    1.1270531319E-21    3.2385161766E-02
  281.000000    8.2093587008E-22    2.3589075084E-02
  282.000000    2.3405298515E-21    6.7253650883E-02
  283.000000    8.0004477257E-22    2.2988782557E-02
  284.000000    2.3568897822E-22    6.7723743186E-03
  285.000000    1.4463012891E-22    4.1558556455E-03
  286.000000    1.0266593527E-22    2.9500409762E-03
  287.000000    9.9972606587E-23    2.8726498733E-03
  288.000000    1.7587206489E-22    5.0535729954E-03
  289.000000    8.1996955453E-22    2.3561308615E-02
  290.000000    6.7478290067E-22    1.9389461576E-02
  291.000000    2.5127086722E-22    7.2201100832E-03
  292.000000    8.1592474201E-23    2.3445083476E-03
  293.000000    5.0909074971E-23    1.4628401995E-03
  294.000000    4.1235526947E-23    1.1848768908E-03
  295.000000    3.7297660145E-23    1.0717247689E-03
  296.000000    4.1793556908E-23    1.2009115302E-03
  297.000000    5.4289678011E-23    1.5599796982E-03
  298.000000    1.4019066910E-22    4.0282905644E-03
  299.000000    1.4207677824E-22    4.0824867225E-03
  300.000000    1.6292496715E-22    4.6815462978E-03
  301.000000    3.8795019877E-22    1.1147504575E-02
  302.000000    1.6952141896E-21    4.8710911851E-02
  303.000000    1.1916817736E-20    3.4242225072E-01
  304.000000    9.3553357523E-22    2.6881967952E-02
  305.000000    2.6836307056E-22    7.7112437792E-03
  306.000000    1.2092364639E-22    3.4746648039E-03
  307.000000    6.8365439615E-23    1.9644378410E-03
  308.000000    4.7290759763E-23    1.3588701913E-03
  309.000000    4.1224440582E-23    1.1845583311E-03
