# Absorption coefficients
# Pure CH4
# Wavenumber range: 500-1500 cm-1, T: 296 K, P: 1 atm, step: 1 cm-1, Profile: Voigt, Wing: 50 HW, Scut: 1e-28 cm/mol
# KNa, Ka and thier units definition in Eqs(2)-(3) of  https://spectra.iao.ru/home.sim-theory.sp-functions.
# WN,cm-1           KNa,cm-1       Ka,cm**2/molecule (FORMAT F12.6,3X,E17.10,3X,E17.10)

  500.000000    0.0000000000E+00    0.0000000000E+00
  501.000000    2.1623289417E-10    8.7212772756E-30
  502.000000    3.9140372110E-10    1.5786406557E-29
  503.000000    9.2159610548E-10    3.7170548000E-29
  504.000000    4.1110603630E-09    1.6581056023E-28
  505.000000    2.6552256761E-07    1.0709267634E-26
  506.000000    3.1742154370E-09    1.2802498466E-28
  507.000000    1.3354531142E-08    5.3862558432E-28
  508.000000    5.0260842753E-09    2.0271603330E-28
  509.000000    1.0219079223E-07    4.1216404076E-27
  510.000000    1.9475870996E-08    7.8551633779E-28
  511.000000    2.7916280983E-08    1.1259416745E-27
  512.000000    2.2966182285E-08    9.2629035207E-28
  513.000000    7.6531468090E-09    3.0867281136E-28
  514.000000    3.3169430302E-09    1.3378158760E-28
  515.000000    1.6237015383E-07    6.5488423406E-27
  516.000000    6.2706453371E-09    2.5291266110E-28
  517.000000    1.1240916586E-09    4.5337759895E-29
  518.000000    4.5561690999E-10    1.8376304025E-29
  519.000000    0.0000000000E+00    0.0000000000E+00
  520.000000    8.5518896392E-11    3.4492162286E-30
  521.000000    1.6289806259E-10    6.5701343772E-30
  522.000000    4.2392230510E-10    1.7097971982E-29
  523.000000    2.8273905343E-09    1.1403656650E-28
  524.000000    8.2030498193E-09    3.3085193746E-28
  525.000000    8.5422134628E-10    3.4453135561E-29
  526.000000    7.8585670049E-10    3.1695798227E-29
  527.000000    2.6335028329E-09    1.0621653333E-28
  528.000000    1.2480288275E-07    5.0336492486E-27
  529.000000    2.7490910069E-09    1.1087852761E-28
  530.000000    3.2036482365E-09    1.2921209176E-28
  531.000000    5.5847408308E-09    2.2524821436E-28
  532.000000    8.3832415573E-09    3.3811957413E-28
