# Absorption coefficients
# Pure H2O
# Wavenumber range: 500-1500 cm-1, T: 296 K, P: 1 atm, step: 1 cm-1, Profile: Voigt, Wing: 50 HW, Scut: 1e-28 cm/mol
# KNa, Ka and thier units definition in Eqs(2)-(3) of  https://spectra.iao.ru/home.sim-theory.sp-functions.
# WN,cm-1           KNa,cm-1       Ka,cm**2/molecule (FORMAT F12.6,3X,E17.10,3X,E17.10)

  500.000000    1.1116226956E-02    4.4834851753E-22
  501.000000    3.2095449936E-02    1.2944992446E-21
  502.000000    2.7021976098E-01    1.0898718578E-20
  503.000000    7.2149022522E-02    2.9099718291E-21
  504.000000    2.5246359542E-02    1.0182562769E-21
  505.000000    1.7485861833E-02    7.0525370357E-22
  506.000000    3.1067115182E-02    1.2530236285E-21
  507.000000    1.8911893033E-01    7.6276952949E-21
  508.000000    2.5274768655E-02    1.0194020959E-21
  509.000000    9.6321497597E-03    3.8849153426E-22
  510.000000    1.4570801731E-02    5.8768117824E-22
  511.000000    1.4757550255E-02    5.9521326843E-22
  512.000000    7.3312148966E-03    2.9568839711E-22
  513.000000    5.3421432156E-03    2.1546357416E-22
  514.000000    1.0178056900E-02    4.1050949576E-22
  515.000000    2.0799327627E-02    8.3889504450E-22
  516.000000    4.0038704915E-02    1.6148729297E-21
  517.000000    1.7265171050E-01    6.9635262716E-21
  518.000000    1.0446820258E-01    4.2134947351E-21
  519.000000    5.7698941017E-02    2.3271596352E-21
  520.000000    7.8741790351E-02    3.1758765911E-21
  521.000000    1.4125050924E-02    5.6970280176E-22
  522.000000    7.8345680576E-03    3.1599003762E-22
  523.000000    7.8111557269E-03    3.1504575286E-22
  524.000000    1.3028707465E-02    5.2548420431E-22
  525.000000    4.0933305620E-02    1.6509546778E-21
  526.000000    3.6777409496E-01    1.4833357659E-20
  527.000000    3.5562876898E-02    1.4343502700E-21
  528.000000    1.0421213319E-02    4.2031667408E-22
  529.000000    5.4117268059E-03    2.1827007493E-22
  530.000000    3.1742123203E-03    1.2802485895E-22
  531.000000    2.2345338636E-03    9.0124999162E-23
  532.000000    1.8968132752E-03    7.6503783463E-23
  533.000000    1.9827293325E-03    7.9969018301E-23
  534.000000    4.2572269640E-03    1.7170586797E-22
  535.000000    3.6430244446E-03    1.4693336287E-22
  536.000000    2.1332175975E-02    8.6038630838E-22
  537.000000    7.7487198592E-03    3.1252753972E-22
  538.000000    2.6538615939E-03    1.0703765910E-22
  539.000000    1.7600002094E-03    7.0985729947E-23
  540.000000    2.5067101182E-03    1.0110262860E-22
  541.000000    1.0570710648E-02    4.2634631941E-22
  542.000000    2.6945483955E-03    1.0867867158E-22
  543.000000    2.3832024875E-03    9.6121220488E-23
  544.000000    5.0422624857E-03    2.0336854576E-22
  545.000000    2.6140708639E-02    1.0543278769E-21
  546.000000    3.9975683245E-02    1.6123310895E-21
  547.000000    1.7963959255E-02    7.2453670951E-22
  548.000000    3.0547065332E-02    1.2320485638E-21
  549.000000    9.0488125976E-03    3.6496391532E-22
  550.000000    6.0306963803E-02    2.4323484870E-21
  551.000000    7.2768190647E-03    2.9349446110E-22
  552.000000    3.1209068743E-03    1.2587490125E-22
