# Absorption coefficients
# Pure N2O
# Wavenumber range: 500-1500 cm-1, T: 296 K, P: 1 atm, step: 1 cm-1, Profile: Voigt, Wing: 50 HW, Scut: 1e-28 cm/mol
# KNa, Ka and thier units definition in Eqs(2)-(3) of  https://spectra.iao.ru/home.sim-theory.sp-functions.
# WN,cm-1           KNa,cm-1       Ka,cm**2/molecule (FORMAT F12.6,3X,E17.10,3X,E17.10)

  500.000000    4.1512363609E-09    1.6743097057E-28
  501.000000    1.6693001304E-09    6.7327542135E-29
  502.000000    1.1090226213E-09    4.4729983484E-29
  503.000000    1.0773699759E-09    4.3453343787E-29
  504.000000    1.5059953508E-09    6.0741003724E-29
  505.000000    3.1991473284E-09    1.2903055755E-28
  506.000000    1.6304182852E-10    6.5759328591E-30
  507.000000    8.8885873785E-11    3.5850158420E-30
  508.000000    2.3764716269E-10    9.5849746058E-30
  509.000000    1.1566925409E-09    4.6652644641E-29
  510.000000    2.3028793125E-09    9.2881562232E-29
  511.000000    2.1437982599E-08    8.6465378540E-28
  512.000000    1.5745842229E-08    6.3507384730E-28
  513.000000    1.7499282697E-08    7.0579500453E-28
  514.000000    2.1930674800E-08    8.8452543960E-28
  515.000000    2.1461640847E-07    8.6560798869E-27
  516.000000    9.2195266459E-08    3.7184929026E-27
  517.000000    6.4269717874E-08    2.5921774397E-27
  518.000000    1.7281147002E-07    6.9699698200E-27
  519.000000    1.2708175350E-06    5.1255624782E-26
  520.000000    5.5989217746E-07    2.2582017147E-26
  521.000000    4.2808358581E-07    1.7265808069E-26
  522.000000    7.0537507570E-07    2.8449749248E-26
  523.000000    6.1396293989E-06    2.4762842195E-25
  524.000000    2.9460324432E-06    1.1882172644E-25
  525.000000    1.9116931328E-06    7.7103929726E-26
  526.000000    4.8268323300E-06    1.9467964517E-25
  527.000000    3.1560647049E-05    1.2729291487E-24
  528.000000    4.3809530061E-05    1.7669608523E-24
  529.000000    1.5992756528E-05    6.4503259141E-25
  530.000000    2.8112378164E-05    1.1338508222E-24
  531.000000    1.2500915172E-04    5.0419686529E-24
  532.000000    1.6818930705E-04    6.7835450622E-24
  533.000000    1.5866208408E-04    6.3992855188E-24
  534.000000    2.3898833726E-04    9.6390679266E-24
  535.000000    5.8163454928E-04    2.3458947802E-23
  536.000000    9.0984326854E-04    3.6696523221E-23
  537.000000    2.8478813015E-04    1.1486301644E-23
  538.000000    4.9273784091E-04    1.9873494970E-23
  539.000000    1.4280356781E-03    5.7596672124E-23
  540.000000    3.4491975530E-03    1.3911578233E-22
  541.000000    1.2486433634E-03    5.0361278438E-23
  542.000000    1.4855085972E-03    5.9914715665E-23
  543.000000    3.0368370184E-03    1.2248412888E-22
  544.000000    4.8977700937E-03    1.9754076355E-22
  545.000000    5.5846134667E-03    2.2524307741E-22
  546.000000    4.5381657586E-03    1.8303691515E-22
  547.000000    4.8909049203E-03    1.9726387191E-22
  548.000000    6.5336369907E-03    2.6351984989E-22
  549.000000    3.0418243057E-02    1.2268528013E-21
  550.000000    1.4955523435E-02    6.0319808037E-22
  551.000000    7.8583352180E-03    3.1694863366E-22
  552.000000    1.0788014649E-02    4.3511079740E-22
  553.000000    3.7572764876E-02    1.5154146724E-21
  554.000000    5.3105418202E-02    2.1418900151E-21
  555.000000    1.8292471266E-02    7.3778651753E-22
  556.000000    1.5558412560E-02    6.2751428463E-22
  557.000000    3.3932393855E-02    1.3685883296E-21
  558.000000    1.7387475683E-01    7.0128551500E-21
  559.000000    5.9851747339E-02    2.4139883340E-21
  560.000000    3.1204711628E-02    1.2585732779E-21
  561.000000    3.7219904543E-02    1.5011828285E-21
  562.000000    1.1198058672E-01    4.5164901944E-21
  563.000000    2.7756401444E-01    1.1194932857E-20
  564.000000    9.0922688571E-02    3.6671662778E-21
  565.000000    5.1430849658E-02    2.0743499832E-21
  566.000000    8.1125688873E-02    3.2720258846E-21
  567.000000    2.5990916105E-01    1.0482863251E-20
  568.000000    3.2435322674E-01    1.3082072626E-20
  569.000000    1.1080469495E-01    4.4690631914E-21
  570.000000    8.7357931428E-02    3.5233896541E-21
  571.000000    1.7517671667E-01    7.0653668313E-21
  572.000000    4.0412668538E-01    1.6299559284E-20
  573.000000    3.5787170070E-01    1.4433966408E-20
  574.000000    1.3763571563E-01    5.5512332831E-21
  575.000000    1.3082760100E-01    5.2766429824E-21
  576.000000    1.8268004600E-01    7.3679970845E-21
  577.000000    4.5688220117E-01    1.8427336756E-20
  578.000000    3.6237403905E-01    1.4615558304E-20
  579.000000    3.5499576480E-01    1.4317971871E-20
  580.000000    1.3123007024E-01    5.2928756923E-21
  581.000000    1.7991367129E-01    7.2564214571E-21
  582.000000    3.4618837340E-01    1.3962745148E-20
  583.000000    2.6425662628E-01    1.0658208681E-20
  584.000000    1.1132959430E-01    4.4902338498E-21
  585.000000    8.7865575846E-02    3.5438643730E-21
  586.000000    1.1758296248E-01    4.7424496747E-21
  587.000000    1.7539326957E-01    7.0741010153E-21
  588.000000    3.8232386287E-01    1.5420190485E-20
  589.000000    1.4332055491E+01    5.7805187480E-19
  590.000000    2.3793941089E+00    9.5967617929E-20
  591.000000    4.5033952287E-01    1.8163452245E-20
  592.000000    2.9569661694E-01    1.1926271420E-20
  593.000000    4.9297072190E-01    1.9882887712E-20
  594.000000    2.4510803733E-01    9.8858925428E-21
  595.000000    1.5230612495E-01    6.1429319138E-21
  596.000000    1.5664156253E-01    6.3177922348E-21
  597.000000    2.7167339461E-01    1.0957347687E-20
