# Absorption coefficients
# Pure NH3
# Wavenumber range: 500-1500 cm-1, T: 296 K, P: 1 atm, step: 1 cm-1, Profile: Voigt, Wing: 50 HW, Scut: 1e-28 cm/mol
# KNa, Ka and thier units definition in Eqs(2)-(3) of  https://spectra.iao.ru/home.sim-theory.sp-functions.
# WN,cm-1           KNa,cm-1       Ka,cm**2/molecule (FORMAT F12.6,3X,E17.10,3X,E17.10)

  500.000000    3.0138558139E-02    1.2155723264E-21
  501.000000    1.8943123390E-02    7.6402913711E-22
  502.000000    2.2108335750E-02    8.9169100250E-22
  503.000000    2.2880507390E-02    9.2283484398E-22
  504.000000    6.6644310096E-03    2.6879513841E-22
  505.000000    2.2196755303E-02    8.9525721033E-22
  506.000000    5.1153368500E-03    2.0631583921E-22
  507.000000    1.1062325798E-02    4.4617453309E-22
  508.000000    4.7045370258E-03    1.8974713358E-22
  509.000000    3.6798682975E-03    1.4841937848E-22
  510.000000    4.9430638066E-03    1.9936758565E-22
  511.000000    1.0055388111E-02    4.0556192047E-22
  512.000000    1.0100832113E-02    4.0739480416E-22
  513.000000    4.4011601987E-03    1.7751109781E-22
  514.000000    5.7117279486E-03    2.3036995991E-22
  515.000000    2.2878508612E-02    9.2275422767E-22
  516.000000    1.7609000024E-02    7.1022021112E-22
  517.000000    7.1670040336E-03    2.8906531382E-22
  518.000000    1.5386224929E-02    6.2056947601E-22
  519.000000    1.1896257081E-02    4.7980931366E-22
  520.000000    2.8218747653E-02    1.1381410011E-21
  521.000000    7.7349546625E-02    3.1197235085E-21
  522.000000    6.4281677674E-03    2.5926598119E-22
  523.000000    2.6331756229E-03    1.0620333604E-22
  524.000000    2.0144456292E-03    8.1248225233E-23
  525.000000    2.8916129048E-03    1.1662683429E-22
  526.000000    2.2591270147E-03    9.1116909714E-23
  527.000000    3.3457201232E-03    1.3494224823E-22
  528.000000    1.0976294378E-02    4.4270464535E-22
  529.000000    9.4327564849E-03    3.8044944592E-22
  530.000000    6.8640002905E-03    2.7684432557E-22
  531.000000    1.2768872741E-02    5.1500434334E-22
  532.000000    5.4235501794E-02    2.1874694465E-21
  533.000000    1.3043463298E-02    5.2607934835E-22
  534.000000    1.2679781489E-02    5.1141104400E-22
  535.000000    2.9689535264E-02    1.1974619783E-21
  536.000000    2.0120694549E-02    8.1152387479E-22
  537.000000    1.5919570016E-02    6.4208077474E-22
  538.000000    4.6727212756E-03    1.8846391541E-22
  539.000000    2.3565736947E-03    9.5047206811E-23
  540.000000    2.5209837039E-03    1.0167832223E-22
  541.000000    1.3110027394E-03    5.2876406448E-23
  542.000000    1.4126456094E-03    5.6975947617E-23
  543.000000    2.3316308518E-03    9.4041192209E-23
  544.000000    1.4281410107E-03    5.7600920483E-23
  545.000000    1.8895342329E-03    7.6210199332E-23
  546.000000    2.2115935600E-03    8.9199752568E-23
  547.000000    3.9986445524E-03    1.6127651624E-22
  548.000000    8.9680602093E-03    3.6170694569E-22
  549.000000    3.5918873339E-02    1.4487086020E-21
  550.000000    2.1131426736E-02    8.5228953021E-22
  551.000000    1.5123490713E-02    6.0997267040E-22
  552.000000    4.6481949518E-02    1.8747470019E-21
  553.000000    3.4949570638E-02    1.4096139136E-21
  554.000000    1.6536177732E-01    6.6695028818E-21
  555.000000    2.0616675619E-02    8.3152817826E-22
  556.000000    9.5645887619E-03    3.8576661030E-22
  557.000000    5.6266843896E-03    2.2693991537E-22
  558.000000    1.0705242621E-02    4.3177237005E-22
  559.000000    3.5913033316E-03    1.4484730575E-22
  560.000000    2.5354218180E-03    1.0226065174E-22
  561.000000    1.4936379222E-03    6.0242594073E-23
  562.000000    1.2990488195E-03    5.2394271428E-23
  563.000000    1.0801406709E-03    4.3565093661E-23
  564.000000    1.2025567019E-03    4.8502474506E-23
  565.000000    1.2874983800E-03    5.1928409908E-23
  566.000000    1.5568945034E-03    6.2793908877E-23
  567.000000    2.0892464372E-03    8.4265150989E-23
  568.000000    3.6603544832E-03    1.4763233178E-22
  569.000000    1.0882554610E-02    4.3892385839E-22
  570.000000    3.2994830361E-02    1.3307737721E-21
  571.000000    3.7245531300E-02    1.5022164273E-21
  572.000000    2.0201677227E-02    8.1479013264E-22
  573.000000    4.9223452255E-03    1.9853194733E-22
  574.000000    2.3440739152E-03    9.4543055751E-23
  575.000000    2.1212987274E-03    8.5557909481E-23
  576.000000    4.9644277631E-03    2.0022925375E-22
  577.000000    3.5372260006E-03    1.4266621577E-22
  578.000000    2.6636335852E-03    1.0743179083E-22
  579.000000    1.0876465431E-03    4.3867826477E-23
  580.000000    9.1845176014E-04    3.7043727760E-23
  581.000000    1.3248501349E-03    5.3434910628E-23
  582.000000    1.3059179493E-03    5.2671322644E-23
  583.000000    1.5282980842E-03    6.1640535325E-23
  584.000000    1.3620703212E-03    5.4936104820E-23
  585.000000    2.6694596920E-03    1.0766677401E-22
