# Absorption coefficients
# Pure SO2
# Wavenumber range: 500-1500 cm-1, T: 296 K, P: 1 atm, step: 1 cm-1, Profile: Voigt, Wing: 50 HW, Scut: 1e-28 cm/mol
# KNa, Ka and thier units definition in Eqs(2)-(3) of  https://spectra.iao.ru/home.sim-theory.sp-functions.
# WN,cm-1           KNa,cm-1       Ka,cm**2/molecule (FORMAT F12.6,3X,E17.10,3X,E17.10)

  500.000000    1.9594710418E+00    7.9030946399E-20
  501.000000    1.3859350338E+00    5.5898635414E-20
  502.000000    1.4235808144E+00    5.7416995013E-20
  503.000000    1.9797526633E+00    7.9848960908E-20
  504.000000    1.5052871844E+00    6.0712441394E-20
  505.000000    1.4906035724E+00    6.0120210259E-20
  506.000000    1.7653547987E+00    7.1201695507E-20
  507.000000    1.5542711355E+00    6.2688101113E-20
  508.000000    1.4196217668E+00    5.7257315554E-20
  509.000000    1.4621179182E+00    5.8971304174E-20
  510.000000    1.3600684955E+00    5.4855365592E-20
  511.000000    1.3189939187E+00    5.3198713052E-20
  512.000000    1.0261034363E+00    4.1385620884E-20
  513.000000    1.0095405629E+00    4.0717593886E-20
  514.000000    8.1916466761E-01    3.3039201681E-20
  515.000000    6.8569279686E-01    2.7655907905E-20
  516.000000    6.4794477762E-01    2.6133424734E-20
  517.000000    5.7438145317E-01    2.3166410153E-20
  518.000000    5.8326618689E-01    2.3524756309E-20
  519.000000    6.0738510968E-01    2.4497539909E-20
  520.000000    7.1241204964E-01    2.8733570085E-20
  521.000000    7.1300513237E-01    2.8757490770E-20
  522.000000    9.8474699124E-01    3.9717599812E-20
  523.000000    1.0473737173E+00    4.2243510799E-20
  524.000000    1.0856601386E+00    4.3787709231E-20
  525.000000    1.3637340940E+00    5.5003209430E-20
  526.000000    1.4116237836E+00    5.6934734526E-20
  527.000000    1.6170015141E+00    6.5218192697E-20
  528.000000    1.3841394887E+00    5.5826216058E-20
  529.000000    1.5017255665E+00    6.0568791383E-20
  530.000000    1.7798610950E+00    7.1786775000E-20
  531.000000    1.6349105717E+00    6.5940515067E-20
  532.000000    1.3970698623E+00    5.6347734181E-20
  533.000000    1.5313580169E+00    6.1763950970E-20
  534.000000    2.1129977873E+00    8.5223109352E-20
  535.000000    1.3739420598E+00    5.5414925236E-20
  536.000000    1.2772071581E+00    5.1513336151E-20
  537.000000    1.5628127141E+00    6.3032606864E-20
  538.000000    1.8725389490E+00    7.5524732009E-20
  539.000000    1.1107650894E+00    4.4800262094E-20
  540.000000    1.0645950784E+00    4.2938096445E-20
  541.000000    1.2875354449E+00    5.1929904838E-20
  542.000000    1.5294020612E+00    6.1685061806E-20
  543.000000    9.1038255940E-01    3.6718274330E-20
  544.000000    8.9647717767E-01    3.6157431401E-20
  545.000000    1.1303567590E+00    4.5590448915E-20
  546.000000    1.2329175674E+00    4.9727013110E-20
  547.000000    7.4095265679E-01    2.9884692580E-20
  548.000000    7.0090337752E-01    2.8269393156E-20
  549.000000    8.4559401661E-01    3.4105171231E-20
  550.000000    1.0485923707E+00    4.2292662496E-20
  551.000000    6.4547427066E-01    2.6033782280E-20
  552.000000    6.5859818062E-01    2.6563106267E-20
  553.000000    7.0408274072E-01    2.8397625765E-20
  554.000000    9.5687788024E-01    3.8593560634E-20
  555.000000    4.9861149369E-01    2.0110395812E-20
  556.000000    5.2059917514E-01    2.0997220489E-20
  557.000000    5.7635278208E-01    2.3245919361E-20
  558.000000    9.3022756349E-01    3.7518678838E-20
  559.000000    4.7383865270E-01    1.9111237862E-20
  560.000000    4.6249673104E-01    1.8653786446E-20
  561.000000    4.8822095966E-01    1.9691316519E-20
  562.000000    8.2841314156E-01    3.3412218497E-20
  563.000000    4.2697951287E-01    1.7221277720E-20
  564.000000    3.6420940802E-01    1.4689583867E-20
  565.000000    4.1291093271E-01    1.6653852542E-20
  566.000000    6.1144799006E-01    2.4661407235E-20
  567.000000    4.3471258259E-01    1.7533174046E-20
  568.000000    3.3236741650E-01    1.3405307309E-20
  569.000000    3.1635386465E-01    1.2759435984E-20
  570.000000    4.1985761043E-01    1.6934031480E-20
  571.000000    4.0789107652E-01    1.6451387705E-20
  572.000000    2.9669430323E-01    1.1966510898E-20
  573.000000    2.7622989222E-01    1.1141123977E-20
  574.000000    2.7331839221E-01    1.1023695040E-20
  575.000000    3.8736511737E-01    1.5623518375E-20
  576.000000    2.8137448550E-01    1.1348619810E-20
  577.000000    2.3986172491E-01    9.6742940925E-21
  578.000000    2.2168155334E-01    8.9410369357E-21
  579.000000    3.8805604740E-01    1.5651385515E-20
  580.000000    2.5837346117E-01    1.0420924181E-20
  581.000000    2.1108050426E-01    8.5134669828E-21
  582.000000    2.0288072404E-01    8.1827469173E-21
  583.000000    2.0096763698E-01    8.1055867665E-21
  584.000000    1.9437890538E-01    7.8398447972E-21
  585.000000    1.9622738517E-01    7.9143991561E-21
  586.000000    1.5975877310E-01    6.4435180538E-21
  587.000000    1.7003566439E-01    6.8580138167E-21
  588.000000    1.6050454841E-01    6.4735972575E-21
  589.000000    1.4715307736E-01    5.9350950953E-21
  590.000000    1.5835677678E-01    6.3869716219E-21
  591.000000    1.1993815770E-01    4.8374412839E-21
  592.000000    1.5807491210E-01    6.3756032310E-21
  593.000000    1.0240814573E-01    4.1304068820E-21
  594.000000    1.0446611335E-01    4.2134104709E-21
  595.000000    1.2568530204E-01    5.0692396859E-21
  596.000000    9.5712110533E-02    3.8603370583E-21
  597.000000    9.9524611552E-02    4.0141058853E-21
  598.000000    7.5851875477E-02    3.0593182431E-21
  599.000000    7.3895462269E-02    2.9804106277E-21
  600.000000    8.5930694313E-02    3.4658251902E-21
  601.000000    8.0320849672E-02    3.2395644691E-21
  602.000000    7.0853824190E-02    2.8577328587E-21
  603.000000    5.3777445920E-02    2.1689947722E-21
  604.000000    5.3996591019E-02    2.1778335069E-21
  605.000000    6.2974575359E-02    2.5399407205E-21
  606.000000    5.0208593584E-02    2.0250529779E-21
