# Absorption coefficients
# IAO model, mean latitude, winter, H=0
# Wavenumber range: 500-1500 cm-1, T: 296 K, P: 1 atm, step: 1 cm-1, Profile: Voigt, Wing: 50 HW, Scut: 1e-28 cm/mol
# KNa, Ka and thier units definition in Eqs(2)-(3) of  https://spectra.iao.ru/home.sim-theory.sp-functions.
# WN,cm-1           KNa,cm-1       Ka,cm**2/molecule (FORMAT F12.6,3X,E17.10,3X,E17.10)

  500.000000    1.2933355920E-05    5.2163840988E-25
  501.000000    3.7197314322E-05    1.5002717017E-24
  502.000000    6.6814418770E-04    2.6948123426E-23
  503.000000    9.6655980696E-05    3.8984059813E-24
  504.000000    3.8360314164E-05    1.5471787374E-24
  505.000000    2.1828130854E-05    8.8038955548E-25
  506.000000    3.7864348041E-05    1.5271750368E-24
  507.000000    2.9295561082E-03    1.1815718978E-22
  508.000000    5.0420502567E-05    2.0335998597E-24
  509.000000    9.2103739308E-06    3.7148013566E-25
  510.000000    1.5962998937E-05    6.4383238460E-25
  511.000000    1.8639060142E-05    7.5176541607E-25
  512.000000    3.3805708522E-05    1.3634787558E-24
  513.000000    3.5279983387E-06    1.4229403837E-25
  514.000000    9.2026958477E-06    3.7117045710E-25
  515.000000    1.1122825094E-04    4.4861463888E-24
  516.000000    6.0427024972E-05    2.4371908897E-24
  517.000000    7.6615028948E-04    3.0900983566E-23
  518.000000    2.6881796471E-04    1.0842180214E-23
  519.000000    8.3008758976E-05    3.3479753675E-24
  520.000000    1.6915671553E-04    6.8225633513E-24
  521.000000    1.1940786639E-05    4.8160531526E-25
  522.000000    4.1481877703E-06    1.6730801238E-25
  523.000000    5.4632610408E-06    2.2034859473E-25
  524.000000    2.8783185547E-05    1.1609063598E-24
  525.000000    4.7392540155E-05    1.9114736686E-24
  526.000000    9.0797250789E-03    3.6621070213E-22
  527.000000    4.1923669707E-05    1.6908988307E-24
  528.000000    1.0412223513E-05    4.1995409006E-25
  529.000000    1.4246149491E-06    5.7458704557E-26
  530.000000    2.7802250531E-07    1.1213425075E-26
  531.000000    1.4865552845E-07    5.9956931490E-27
  532.000000    7.2561865923E-07    2.9266229580E-26
  533.000000    1.6203968837E-06    6.5355137448E-26
  534.000000    5.8357383022E-06    2.3537164424E-25
  535.000000    4.3830141385E-06    1.7677921646E-25
  536.000000    7.6652919937E-05    3.0916266062E-24
  537.000000    2.9189077462E-05    1.1772771157E-24
  538.000000    2.6543671717E-05    1.0705805046E-24
  539.000000    1.3799392047E-06    5.5656806861E-26
  540.000000    2.3682576735E-06    9.5518454348E-26
  541.000000    1.1490769396E-04    4.6345486147E-24
  542.000000    3.3076407369E-06    1.3340640010E-25
  543.000000    2.7627546521E-06    1.1142962063E-25
  544.000000    6.8884450105E-06    2.7783024948E-25
  545.000000    7.3267670803E-05    2.9550900424E-24
  546.000000    9.7976442260E-05    3.9516638886E-24
  547.000000    2.6375080638E-05    1.0637807549E-24
